专利名称,专利类型,申请人,申请人类型,申请人地区,申请人城市,公开公告年份,IPC主分类号,摘要文本,主权项内容,被引证次数,year,第一申请人,第一申请人类型,第一申请人地区,第一申请人城市,quantum_score_raw,quantum_score,core_score,matched_terms,matched_core_terms,matched_conditional_terms,matched_supply_terms,matched_application_terms,matched_timefreq_terms,inactive_terms_no_context,negative_terms,main_category,chain_position,category_scores,source_types,relevance,is_quantum_patent,来源文件年份,来源分块
应用轴对称多级磁铁的光抽运铯原子钟及实现方法,发明授权,北京大学,学校,中国,北京市,2021.0,G04F5/14,本发明公布了一种应用轴对称多级磁铁的光抽运铯原子钟及实现方法，属于微波原子钟及微波量子频率标准技术领域。本发明创新地将轴对称多级磁铁束光学系统应用到光抽运小型铯原子钟中，能够把经过光抽运的铯原子束在进入微波谐振腔前集聚，以减少由从铯炉中泻流的铯原子空间上的发散和磁选态对于铯原子的损耗，以提高铯原子的利用效率，进而提高钟跃迁信号的信噪比和铯钟的稳定度指标。该发明能够提高在铯原子钟中铯原子的利用效率，提高钟跃迁信号的信噪比和铯钟的稳定度指标。,"1.一种应用轴对称多级磁铁的光抽运铯原子钟，包括：窄线宽激光器、半波片、偏振分光棱镜、铯炉、轴对称多级磁铁束光学系统、微波谐振腔、光电探测器、晶振频综和反馈控制电路；
窄线宽激光器依次连接半波片与偏振分光棱镜后分为两路光，一路经过频率调制器作为探测光，另一路作为抽运光；抽运光打在从铯炉中泻流的铯原子束，随后连接轴对称多级磁铁束光学系统，再连接微波谐振腔；探测光与出射铯原子作用，而后连接反馈控制电路后连接晶振频综，最后晶振频综连接到微波谐振腔；通过光电探测器检测铯原子与探测光作用的谱线，通过晶振频综和反馈控制电路对得到的谱线进行调制解调并反馈控制晶振，得到高稳定度的钟跃迁信号输出，通过晶振频综反馈控制微波腔频率，由此得到应用光抽运和多级磁铁束光学系统的光抽运铯原子钟。     （macrodatas.cn）",,2021,北京大学,学校,中国,北京市,3,3,0,原子钟；铯原子钟；频率标准,,,,,原子钟；铯原子钟；频率标准,原子钟；激光器,,量子传感,量子计量/时间频率/PNT候选,{'量子传感': 3},专家补充词,量子计量/PNT候选,1,2021,3
一种基于机器学习的动态DWDM-QKD网络中的自适应信道分配方法,发明授权,北京邮电大学,学校,中国,北京市,2021.0,H04L9/08,本发明公开了一种基于机器学习的动态DWDM‑QKD网络中自适应信道分配方法。本方法主要针对量子密钥分发与光网络融合中时变噪声干扰问题，在不影响已有经典业务服务机制的前提下，提供一种有效的噪声抑制信道分配方案。针对无法提前预知经典业务请求这一难题，本方案中设计了一种基于机器学习的最佳量子信道预测模型，经训练后能够根据网络状态在线预测具有最低噪声干扰的波长信道，基于这一预测结果周期性地对量子信道进行重新分配。本方案能够显著降低量子信号受到的噪声干扰，从而提高密钥生成率等性能，并且在实施量子信道分配过程中既无需对系统性能进行实时监控，也无需复杂的计算，极大降低了网络管控的负担，并且能够满足网络的实时性要求。    来自马克数据网,"1.一种基于机器学习的动态DWDM‑QKD网络中的自适应信道分配方法，其目的在于降低QKD与动态经典业务共存时的噪声干扰，从而提高QKD系统的密钥生成率；其特征在于，该方法包括两个技术要点：首先，针对动态网络环境下难以提前获知经典请求的连接建立情况这一问题，构建机器学习模型，根据当前的网络状态及经典业务请求到达/离去规律，提前预测受到经典信号干扰最低的信道位置，作为最佳量子信道；其次，以不干扰已有的经典业务服务机制为前提，对量子信道采取了周期性重构的方式；
其中，基于机器学习的最佳量子信道的预测方法主要包括机器学习模型构建，机器学习模型训练以及基于机器学习模型的预测三个步骤：
步骤1，采用决策树或神经网络的标准框架构建机器学习模型；
步骤2，机器学习模型训练的关键技术是训练数据生成以及特征变量定义；训练数据可通过在模拟的DWDM‑QKD网络中进行仿真计算或者在实际的DWDM‑QKD网络中进行实验测量的方式生成，具体方式为：假设量子信道的重构周期为TS，对于每个时隙t ，若t ≡0(mod i iTS)，则通过基于蒙特卡罗的信道评估方法得到该时隙各个可用的信道在下一周期成为最佳信道的概率p ；特征变量主要反映当前的网络状态，经特征筛选后，主要包含以下变量：
opt各光纤链路上各个波长信道状态、该时段经典业务的平均业务量、各光纤链路的长度、各个波长信道上业务的剩余持续时间、各波长信道的信号功率、量子信道重构周期以及候选量子信道；
步骤3，机器学习模型训练好后能够在线执行最佳量子信道预测任务；
根据当前的网络状态提取各个特征变量，将特征变量输入至机器学习模型中，得到各个可用信道对应的性能评价参数p ；若DWDM‑QKD网络中需要N个量子信道，则选择前N个optp 值最大的信道作为最佳量子信道分配方案；
opt其中，在不干扰已有的经典业务服务机制的前提下，量子信道周期性重构的步骤为：对于每个时隙t ，优先为该时隙到达的经典业务请求建立连接；判断当前时隙若满足t ≡0i i(mod  TS)，则需要根据当前的网络中各个链路信道利用情况预测下一周期的最佳量子信道分配方案，同时根据预测的最佳信道位置对量子信道进行重新分配；若不满足t ≡0(mod iTS)，则量子信道仍然保持上一时隙的信道分配方案；为了保证系统的高效性，TS的设置应大于量子信道切换时间、量子信号传输时间以及QKD的后处理时间。",,2021,北京邮电大学,学校,中国,北京市,5,5,5,QKD；量子密钥；量子密钥分发,QKD；量子密钥；量子密钥分发,,,,,,,量子通信与安全,量子通信与安全,{'量子通信与安全': 5},PDF直接词,中相关,1,2021,3
一种基于格的公钥加密方法,发明授权,北京信息科学技术研究院,科研单位,中国,北京市,2021.0,H04L29/06,本发明公开了一种基于格的公钥加密方法。本发明首先提出一类非对称模带错误学习(AMLWE)数学困难问题，也提供了该类数学困难问题的变种和一般化定义。通过基于AMLWE数学困难问题，本发明提出了一种格上选择明文安全的公钥加密方法。基于该加密方法，本发明也提供了选择密文安全的密钥封装机制以及选择密文安全的公钥加密方法。本发明设计的公钥加密方法和密钥封装机制具有可证明安全、抵抗量子计算机攻击、公钥和密文长度短、计算效率高、参数选取灵活等特点和优势。利用通用的转换方法，本发明也提供了(认证)密钥交换协议。    来源：百度马 克 数据网,"1.一种基于格的公钥加密方法，其特征在于，包括以下步骤：
1)定义非对称模带错误学习问题AMLWE：对于正整数 正实数 满足α≠α，给定随机的矩阵 和向量 计算性AMLWE数学困难问题1 2的目标是给定样本 输出秘密向量 对于随机 的 矩 阵 和 向 量 判 定 性 A M L W E 数 学 困 难 问 题的目标是将样本(A, b＝As+e)和选自于 上均匀分布的元组区分开；其中R 是定义在 上次数为n‑1的多项式环，当n＝1时定义 表示正整数集q合， 表示正实数集合， 表示以α为参数的噪音分布， 表示以α为参数的噪音分布；
1 22)基于所述AMLWE数学困难问题，提出格上公钥加密方法，用公钥对明文进行加密获得密文，用私钥解密密文获得明文。",,2021,北京信息科学技术研究院,科研单位,中国,北京市,5,5,5,量子计算；量子计算机,量子计算；量子计算机,,,,,,,量子计算,量子计算系统,{'量子计算': 5},PDF直接词/PDF支持扩展,中相关,1,2021,3
基于量子密钥池状态的量子业务部署方法和装置,发明授权,北京邮电大学,学校,中国,北京市,2021.0,H04B10/70,本发明公开了一种基于量子密钥池状态的量子业务部署方法和装置，所述方法包括：对于多芯光纤光网络中两节点间待部署的量子业务，根据所述两节点间的量子密钥池状态，判断所述量子业务对量子密钥需求是否急迫；若是，则选取所述两节点之间最短路径的路由，并选取芯间串扰最小的纤芯；否则，计算出所述两节点之间若干条最短备选路由，统计每个备选路由相对于量子密钥池含量低于阈值的成对节点间最短路径的覆盖率，优先选取覆盖率高的备选路由并分配芯间串扰最小的纤芯；根据选取的路由和分配的纤芯对所述量子业务进行部署。应用本发明既能保证实时稳定传输量子业务，又能降低多芯光纤光网络中量子业务等待时延以及经典业务重路由发生的频率。,"1.一种基于量子密钥池状态的量子业务部署方法，其特征在于，包括：
对于多芯光纤光网络中两节点间待部署的量子业务，根据所述两节点间的量子密钥池状态，判断所述量子业务对量子密钥需求是否急迫；
若是，则选取所述两节点之间最短路径的路由，在所述路由中选取芯间串扰最小的纤芯分配给所述量子业务；
否则，计算出所述两节点之间若干条最短路由作为备选路由，在包含所述两节点的网络范围内统计每个备选路由相对于量子密钥池含量低于阈值且无量子密钥信息传输的成对节点间最短路径的覆盖率：对于所有备选路由的每个节点，确定该节点的n跳以内的网络子范围；综合确定出的各网络子范围得到所述包含所述两节点的网络范围；确定所述网络范围内量子密钥池含量低于阈值且无量子密钥信息传输的各对节点；对确定出的每对节点，确定节点间最短路径；对于每个备选路由，统计该备选路由的路径相对于确定出的节点间最短路径的覆盖率；进而优先选取覆盖率高的备选路由及其芯间串扰最小的纤芯分配给所述量子业务；
根据选取的路由和分配的纤芯对所述量子业务进行部署。",,2021,北京邮电大学,学校,中国,北京市,5,5,5,量子密钥,量子密钥,,,,,,,量子通信与安全,量子通信与安全,{'量子通信与安全': 5},PDF直接词,中相关,1,2021,3
一种基于卫星双向的远程时间复现系统,发明授权,北京无线电计量测试研究所,科研单位,中国,北京市,2021.0,H04J3/06,本发明实施例公开了一种基于卫星双向的远程时间复现系统，包括：标准对比装置和远程复现装置，远程复现装置被配置为执行：S1：接收处理后的标准对比装置输出的第一比对信号，与远程复现装置的本地信号进行比对；S2：若比对结果满足预设的比对条件，则输出第一比对信号作为复现信号；若比对结果不满足预设的比对条件，则基于比对结果生成第二比对信号后输出至标准对比装置；S3：接收标准对比装置处理后的第二比对信号，与远程复现装置的再次生成的本地信号进行比对；若比对结果满足预设的比对条件，则输出所述处理后的所述第二比对信号作为复现信号；若比对结果不满足预设的比对条件，则再次重复执行上述S1‑S3的步骤直至输出满足预设的比对条件的复现信号。,"1.一种基于卫星双向的远程时间复现系统，其特征在于，所述系统包括：标准对比装置和远程复现装置，其中，远程复现装置被配置为执行以下步骤：
S1：接收处理后的标准对比装置输出的第一比对信号，与远程复现装置的本地信号进行比对；
S2：若比对结果满足预设的比对条件，则输出第一比对信号作为复现信号；
若比对结果不满足预设的比对条件，则基于比对结果生成第二比对信号后输出至标准对比装置；
S3：接收标准对比装置处理后的所述第二比对信号，与所述远程复现装置的再次生成的本地信号进行比对；
若比对结果满足预设的比对条件，则输出所述处理后的所述第二比对信号作为复现信号；
若比对结果不满足预设的比对条件，则再次重复执行上述S1-S3的步骤直至输出满足预设的比对条件的复现信号；
所述远程复现装置包括：远程变频模块和远程复现模块；
远程变频模块被配置为接收所述第一比对信号，变频处理后输出到远程复现模块；
所述远程复现模块包括：驯服铷原子频标，时间分配单元，频率分配单元，相位同步单元，时间比对单元以及数据处理及控制单元；其中，时间分配单元向所述时间比对单元输出初始时间信号；
频率分配单元向所述时间比对单元输出初始频率信号；
时间比对单元基于所述初始时间信号、所述初始频率信号生成本地信号，并进行所述本地信号与所述第一比对信号的比对；基于预设的比对条件，若输出满足所述比对条件则输出第一比对信号作为复现信号；若不满足所述比对条件，则将比对结果上传至数据处理及控制单元；
数据处理及控制单元将所述比对结果转换为控制信息，所述控制信息发送至所述相位同步单元；
所述相位同步单元对所述控制信息进行调整，生成调整信号后输出到所述时间分配单元；
所述时间分配单元将所述调整信号输出到驯服铷原子频标、时间比对单元；
所述驯服铷原子频标利用接收的调整信号对铷原子频标进行驯服，并将驯服后的驯服信号输出至所述频率分配单元；
所述频率分配单元将驯服信号输出到相位同步单元、时间比对单元，时间比对单元接收上述所述调整信号、所述驯服信号，再次生成本地信号，并进行所述再次生成的本地信号与所述第一比对信号的比对；基于预设的比对条件，输出满足所述比对条件的第二比对信号作为复现信号；若比对结果不满足预设的比对条件，则基于所述比对结果生成第二比对信号后输出至标准对比装置。",,2021,北京无线电计量测试研究所,科研单位,中国,北京市,3,3,0,原子频标,,,,,原子频标,,,量子传感,量子计量/时间频率/PNT候选,{'量子传感': 3},专家补充词,量子计量/PNT候选,1,2021,3
一种针对离子阱的调整方法和离子阱,发明授权,北京理工大学,学校,中国,北京市,2021.0,H01J49/00,本发明提供一种针对离子阱的调整方法和离子阱，该方法包括：根据碰撞模型确定阻尼系数；确定射频扫描速度；在离子阱上以确定的射频扫描速度施加主射频信号。该离子阱包括两两相对设置的四个电极，在x方向的一对电极上施加主射频信号；在y方向的另一对电极上施加相互反向的辅助射频信号。本发明在动态频率扫描的低功耗模式下通过优化气压值和动态调整扫描速度，得到小型离子阱质谱仪在高气压范围内对蛋白的高效优化检测结果。,"1.一种针对离子阱的调整方法，其特征在于，包括：
根据碰撞模型，确定阻尼系数c；其中阻尼系数c与缓冲气体气压p的关系为其中ε是真空介电常数，α是缓冲气体分子极化率，k是0 p玻尔兹曼常数，T是热力学温度，M是缓冲气体分子的质量，m是被检测物质的质量，z是被检测物质的带电量；所述碰撞模型包括：Langevin碰撞模型；
根据半峰宽 确定射频扫描速度a；其中q 是Mathieu方程的无量x纲参数，Ω是主射频信号角频率；
在离子阱上以所述射频扫描速度a施加主射频信号。",,2021,北京理工大学,学校,中国,北京市,5,5,5,离子阱,离子阱,,,,,,,量子计算硬件,量子计算硬件/量子芯片,{'量子计算硬件': 5},PDF直接词,中相关,1,2021,3
量子密钥分发网络以及量子密钥分发方法和装置,发明授权,北京邮电大学; 国网宁夏电力有限公司信息通信公司,"企业,学校",中国,北京市,2021.0,H04L9/08,本发明提供一种量子密钥分发网络以及量子密钥分发方法和装置，所述方法包括：确定从源节点到目的节点的可信中继路由；其中，所述可信中继路由中的中继节点均为可信节点，且相邻节点之间的距离均小于或等于2跳；对于所述可信中继路由中每对距离为2跳的相邻节点，确定与该对节点相连的非可信节点；基于所述可信中继路由以及确定的非可信节点的中继，实现所述源节点与目的节点间的共享量子密钥的分发；其中，可信节点均设置有QKD发射机、接收机；非可信节点均设置有QKD发射机、MDI‑QKD接收机。应用本发明可以在可信节点与非可信节点共存的场景下，利用中继节点实现远距离的两个节点之间的量子密钥分发，提高QKD网络的安全性。,"1.一种量子密钥分发方法，其特征在于，包括：
在由多个可信节点和多个非可信节点构成的网格型网络中，中央控制器确定从源节点到目的节点的可信中继路由：中央控制器将所述源节点加入到所述可信中继路由中作为首节点；对于每次新加入到所述可信中继路由中的节点，判断当前加入的节点距离所述目的节点的距离是否小于或等于2跳；若是，将所述目的节点作为所述可信中继路由的尾节点；
否则，从距离该节点小于或等于2跳的可信节点中，选择距离所述目的节点最近的节点作为下一个加入到所述可信中继路由中的节点；其中，所述网格型网络中的每个节点的坐标定义为：(i，j)：i＝0，1......n‑1；j＝0，1......n‑1；其中，n为网络中横、纵排列的节点的个数；两节点之间的距离定义如公式d[(i ，j )；(i ，j )]＝|i ‑i |+|j ‑j |所示，单位为跳；
1 1 2 2 2 1 2 1对于所述可信中继路由中每对距离为2跳的相邻节点，确定与该对节点相连的非可信节点；
基于所述可信中继路由以及确定的非可信节点的中继，实现所述源节点与目的节点间的共享量子密钥的分发；
其中，所述可信节点均设置有量子密钥分发QKD发射机、接收机；所述非可信节点均设置有QKD发射机、测量设备无关量子密钥分发MDI‑QKD接收机。",,2021,北京邮电大学,"企业,学校",中国,北京市,5,5,5,QKD；量子密钥；量子密钥分发,QKD；量子密钥；量子密钥分发,,,,,,,量子通信与安全,量子通信与安全,{'量子通信与安全': 5},PDF直接词,中相关,1,2021,3
星地双向时间频率同步方法,发明授权,北京无线电计量测试研究所,科研单位,中国,北京市,2021.0,G04R20/02,本发明公开了一种星地双向时间频率同步方法，包括：卫星的上行载波频率f1，下行载波频率为和f2和f3；计算f1、f2和f3的周数；计算电离层电子浓度TEC；消除f3伪码测量噪声；计算卫星和地面站之间的时差；计算卫星和地面站之间的频率差。相比于现有技术，本发明提出的技术方案基于宽带扩频理论与三频载波相位测量机制，克服了双向法中载波相位只能进行频率同步的问题，实现利用载波相位进行时间同步的目的，时差同步水平达到皮秒量级，可以满足当前氢原子钟和铯原子钟等高性能原子钟远程时间频率传递。,"1.一种星地双向时间频率同步方法，其特征在于，包括：
卫星的上行载波频率f ，下行载波频率为和f 和f ；
1 2 3计算所述f 、f 和f 的周数；
1 2 3计算电离层电子浓度TEC；
消除所述f 伪码测量噪声；
3计算所述卫星和地面站之间的时差；
计算所述卫星和地面站之间的频率差；
其中，计算所述f 周数的方法，包括：
1所述地面站从t 时刻向卫星发射载波频率为f 测距信号，所述卫星在t 时刻接收到所1 1 2述测距信号，获得载波相位观测量，计算所述f 上行整周模糊度的公式为1所述N 为f 整周数， 为所述卫星t1 1 2s s时刻接收的f 信号的载波相位，Δτ(τ(t ))为所述卫星t 时刻接收的f 信号的码相位，c为1 2 2 1光速，TEC为电离层电子浓度；
计算所述f 周数的方法，包括：
2所述卫星从t 时刻向地面站发射载波频率为f 测距信号，所述地面站在t 时刻接收到3 2 4所述测距信号，获得载波相位观测量，计算所述f 上行整周模糊度的公式为2所述N 为f 整周数， 为所述地面站2 2g gt 时刻接收的f 信号的载波相位，Δτ(τ(t ))为所述地面站t 时刻接收的f 信号的码相4 2 4 4 2位，c为光速，TEC为电离层电子浓度；
计算所述f 周数的方法，包括：
3所述卫星从t 时刻向地面站发射载波频率为f 测距信号，所述地面站在t 时刻接收到5 3 6所述测距信号，获得载波相位观测量，计算所述f 上行整周模糊度的公式为3所述N 为f 整周数， 为所述地面3 3g g站t 时刻接收的f 信号的载波相位，Δτ(τ(t ))为所述地面站t 时刻接收的f 信号的码相6 3 6 6 3位，c为光速，TEC为电离层电子浓度；
所述计算电离层电子浓度TEC的方法，包括：所述电离层电子浓度TEC的计算公式为所述消除f 伪码测量噪声的方法，包括：
3对所述N 和TEC的计算公式修正为3所述计算卫星和地面站之间时差的方法，包括：所述时差的计算公式为所述计算卫星和地面站之间频率差的方法，包括：对所述时差数据进行Allan方差计算。    关注公众号马克数据网",,2021,北京无线电计量测试研究所,科研单位,中国,北京市,3,3,0,原子钟；时间频率传递；氢原子钟；铯原子钟,,,,,原子钟；时间频率传递；氢原子钟；铯原子钟,原子钟,,量子传感,量子计量/时间频率/PNT候选,{'量子传感': 3},专家补充词,量子计量/PNT候选,1,2021,3
一种寻址操控系统,发明授权,清华大学,学校,中国,北京市,2021.0,G06N10/00,一种寻址操控系统，包括：第一声光处理组件和第二声光处理组件；其中，第一声光处理组件用于：生成用于预设数值维度选址操作的衍射光束；第二声光处理组件用于：确定生成的衍射光束各个维度的出射方向，并根据确定的出射方向输出衍射光束，以进行预设数值维度的量子比特阵列的寻址操控；其中，所述第一声光处理组件生成的衍射光束的第一射频频率，用于对第二声光处理组件不同出射方向输出的衍射光束的第二射频频率进行补偿。本发明实施例简化了寻址操作系统架构。,"1.一种寻址操控系统，其特征在于，包括：第一声光处理组件和第二声光处理组件；其中，第一声光处理组件用于：生成用于预设数值维度选址操作的衍射光束；
第二声光处理组件用于：确定生成的衍射光束各个维度的出射方向，并根据确定的出射方向输出衍射光束，以进行预设数值维度的量子比特阵列的寻址操控；
其中，所述第一声光处理组件生成的衍射光束的第一射频频率，用于对第二声光处理组件不同出射方向输出的衍射光束的第二射频频率进行补偿。    数据由马 克 数 据整理",,2021,清华大学,学校,中国,北京市,5,5,5,量子比特,量子比特,,,,,,,量子计算,量子计算系统,{'量子计算': 5},PDF直接词,中相关,1,2021,3
基于SDN的QKD网络及其业务请求的发送方法,发明授权,北京邮电大学; 国家电网有限公司信息通信分公司,"企业,学校",中国,北京市,2021.0,H04L9/08,本发明公开了一种基于SDN的QKD网络及其业务请求的发送方法，所述方法包括：设置于网络的应用层中的应用将业务请求发送至本地局域网的量子层的QKD节点；所述QKD节点将接收的业务请求进行量子加密后发送至设置于所述网络的控制层中的控制器。应用本发明能够将应用层的业务请求更为安全地送达控制层，保证通信的安全性、可靠性。,"1.一种基于SDN的QKD网络中业务请求的发送方法，其特征在于，包括：
设置于网络的应用层中的应用将QKD业务请求发送至本地局域网的量子层的QKD节点；
所述应用层不直接通过北向接口与设置于所述网络的控制层交互；
所述QKD节点将接收的业务请求进行量子加密后发送至设置于所述网络的控制层中的控制器；
所述控制器对接收的业务请求进行量子解密后，根据接收的业务请求执行相应业务；
所述控制器根据接收的QKD业务请求，执行量子密钥分发业务。。关注微信公众号马克数据网",,2021,北京邮电大学,"企业,学校",中国,北京市,5,5,5,QKD；量子密钥；量子密钥分发,QKD；量子密钥；量子密钥分发,,,,,,,量子通信与安全,量子通信与安全,{'量子通信与安全': 5},PDF直接词,中相关,1,2021,3
一种基于加密业务的路由分配方法及电子设备,发明授权,北京邮电大学,学校,中国,北京市,2021.0,H04L12/725,本发明公开了一种基于加密业务的路由分配方法及电子设备，涉及通信技术领域，包括：确定加密业务对应的候选路由；确定每条候选路由对应的密钥池中的可用密钥数量；基于可用密钥数量选择可用密钥数量最多的候选路由，作为目标路由；基于所述目标路由传输所述加密业务。本发明通过基于可用密钥数量依次选择可用密钥数量由多到少的的候选路由，作为目标路由；基于目标路由传输加密业务，从而使得加密业务可以依据可用密钥的数量的多少，优先将加密业务分配到可用密钥的数量多的目标路由当中，使得路由当中的量子密钥池中量子密钥注入和消耗的更加平衡。,"1.一种基于加密业务的路由分配方法，其特征在于，所述方法包括：
确定加密业务对应的候选路由；
确定每条候选路由对应的密钥池中的可用密钥数量；获取每条候选路由上可用密钥数量最少的密钥池的可用密钥数量；
获取加密业务需要的可用密钥数量；
获取加密业务可选候选路由经过的跳数；
根据所述每条候选路由上可用密钥数量最少的密钥池的可用密钥数量、所述加密业务需要的可用密钥数量和所述加密业务可选候选路由经过的跳数计算获得每条候选路由的期望；
基于每条候选路由的期望，选择期望最大的候选路由作为可用密钥数量最多的候选路由；
将可用密钥数量最多的候选路由作为目标路由；
基于所述目标路由传输所述加密业务。",,2021,北京邮电大学,学校,中国,北京市,5,5,5,量子密钥,量子密钥,,,,,,,量子通信与安全,量子通信与安全,{'量子通信与安全': 5},PDF直接词,中相关,1,2021,3
一种用于连续变量量子密钥分发系统中的基于极化码的分层数据协调方法,发明授权,北京邮电大学,学校,中国,北京市,2021.0,H04L1/00,本发明涉及一种用于连续变量量子密钥分发系统中的基于极化码的分层数据协调方法。该方法的具体实现步骤如下，步骤1：合法通信双方持有具有互相关性的连续变量，将发送方(反向协调下为接收方)的数据进行分层量化，得到多级二进制数据；步骤2：将步骤1得到的多级二进制数据中所含信息量较少的几级公开，对未公开的数据进行极化码逆编码，并公开休眠比特位置及对应数据；步骤3：接收方(反向协调下为发送方)利用公开的二进制数据以及休眠比特信息对所持有的连续变量进行极化码的多级间译码。本方法的编解码复杂度低，纠错性能好，应用本方法能够获得较高的协调效率，从而提高连续变量量子密钥分发系统的安全码率。,"1.一种用于连续变量量子密钥分发系统中的基于极化码的分层数据协调方法，包括如下步骤：
步骤1：合法通信双方持有具有互相关性的连续变量数据，将发送方或反向协调下的接收方的数据进行分层量化，得到多级二进制数据，将其看作极化码编码后的码字；
步骤2：发送方或反向协调下的接收方将步骤1得到的多级二进制数据中所含信息量较少的几级公开，对未公开的数据进行极化码逆编码，并公开休眠比特位置及对应数据；
步骤3：接收方或反向协调下的发送方利用公开的二进制数据以及休眠比特信息对所持有的连续变量数据进行极化码的多级间译码。",,2021,北京邮电大学,学校,中国,北京市,5,5,5,量子密钥；量子密钥分发,量子密钥；量子密钥分发,,,,,,,量子通信与安全,量子通信与安全,{'量子通信与安全': 5},PDF直接词,中相关,1,2021,3
一种完全对称可收发密钥的量子密钥分发系统,发明授权,北京邮电大学,学校,中国,北京市,2021.0,H04L9/08,本发明的目的在于设计一种高速高效率、易于集成、抗干扰能力强的完全对称的可收发密钥的量子密钥分发装置，在该装置中通信双方模块内的光器件完全相同且对称。通信双方可以分别发送与接收密钥，因此密钥生成率提高为原来的两倍，极大的提高了密钥传输的灵活性和实用性。本方案利用不等臂马赫曾德干涉仪编码方案共享密钥信息，采用相位调制器与法拉第镜组成的偏振不敏感的相位调制方案保证了远距离通信时干涉的稳定性。本装置采用单向的装置加载相位信息，不仅可以高速准确的加载相位，而且避免了光路往返通过时可能引起的木马攻击，提高了通信系统的安全性。,1.一种完全对称收发密钥的量子密钥分发装置，其特征在于每一方用户的装置由激光器(1、27)，衰减器(2、26)，光纤环形器(3、7、10、16、19、23)，X型光纤耦合器(5、22)，Y型光纤耦合器(13、15)，相位调制器(8、11、17、20)，法拉第镜(9、12、18、21)，单光子探测器(4、6、24、25)依次连接构成；  用户之间通过量子信道(14)传递密钥；  Alice端：脉冲光子源(1)的输出端口连接衰减器(2)的输入端口，衰减器(2)输出端口连接环形器(3)的3-1端口，环形器(3)的同向输入端口(3-2)连接X型光纤耦合器(5)的5-a端口，环形器(3)的反向输出端口(3-3)连接单光子探测器(4)，X型光纤耦合器(5)的5-c端口连接环形器(7)的端口(7-1)，环形器(7)的端口(7-2)连接相位调制器(8)的输入端口，相位调制器(8)的输出端口连接法拉第镜(9)，环形器(7)的端口(7-3)连接Y型耦合器(13)的端口(13-2)；  X型光纤耦合器(5)的端口(5-d)连接环形器(10)的端口(10-1)，环形器(10)的端口(10-2)连接相位调制器(11)的输入端口，相位调制器(11)的输出端口连接法拉第镜(12)，环形器(10)的端口(10-1)连接Y型耦合器(13)的端口(13-3)，Y型耦合器(13)的端口(13-1)连接量子信道(14)的输入端口，量子信道(14)的输出端口连接Bob端Y型耦合器(15)的端口(15-1)；  Bob端：Y型耦合器(15)的端口(15-2)连接环形器(16)的端口(16-1)，环形器(16)的端口(端口(16-2)连接相位调制器(17)的输入端口，相位调制器(17)的输出端口连接法拉第镜(18)，环形器(16)的端口(16-3)连接X型耦合器(22)的端口(22-a)，Y型耦合器(15)的端口(15-3)连接环形器(19)的端口(19-3)，环形器(19)的端口(19-2)连接相位调制器(20)的输入端口，相位调制器(20)的输出端口连接法拉第镜(21)，环形器(19)的端口(19-1)连接X型耦合器(22)的端口(22-b)；  X型耦合器(22)的端口(22-c)连接环形器(23)的端口(23-2)，环形器(23)的端口(23-3)连接单光子探测器(24)，X型耦合器(22)的端口(22-d)连接单光子探测器(25)，环形器(23)的端口(23-1)连接衰减器(26)的输出端口，衰减器(26)的输入端口连接激光器(27)。。 （macrodatas.cn）,,2021,北京邮电大学,学校,中国,北京市,9,9,5,单光子探测器；激光器；量子密钥；量子密钥分发,量子密钥；量子密钥分发,,单光子探测器；激光器,,,,,量子通信与安全,量子通信与安全,"{'量子通信与安全': 5, '上游材料与核心部件': 4}",PDF直接词；PDF直接词/PDF支持扩展,高相关,1,2021,3
多用户量子密钥供应方法及装置,发明授权,北京邮电大学,学校,中国,北京市,2021.0,H04L9/08,本发明公开了一种基于光线路终端的多用户量子密钥供应方法及装置，可以根据接收的密钥请求生成密钥供应队列；根据密钥供应队列生成密钥；并将密钥存储于在各用户端设置的密钥池中进行密钥供应。因此，本发明的方案可以根据收集的密钥请求生成密钥队列，并进行密钥生成，实现集成QKD接入网中设备时隙资源与用户密钥需求之间的高效匹配，从而提升了集成QKD接入网中多用户密钥资源的灵活供应，提高了密钥资源分配效率。,"1.一种多用户量子密钥供应方法，其特征在于，包括：
根据接收的密钥请求生成密钥供应队列；
根据密钥供应队列生成密钥；以及将密钥存储于在各用户端设置的密钥池中进行密钥供应；
所述密钥请求包括请求源节点、请求宿节点、所需密钥量以及用户申请等级；
所述根据接收的密钥请求资源生成密钥供应队列包括：
根据用户申请等级和用户申请是否成对，对各密钥请求划分密钥请求等级；
根据各密钥请求中所需密钥量计算获取需要供应密钥量；以及根据划分的密钥请求等级排序生成密钥请求队列；
所述根据接收的密钥请求资源生成密钥供应队列进一步包括：
根据需要供应密钥量划分时隙资源，生成密钥请求时段；
根据各密钥请求等级和各密钥请求时段设置密钥供应周期。。来源：马 克 数 据 网",,2021,北京邮电大学,学校,中国,北京市,5,5,5,QKD；量子密钥,QKD；量子密钥,,,,,,,量子通信与安全,量子通信与安全,{'量子通信与安全': 5},PDF直接词,中相关,1,2021,3
