第一申请人,第一申请人地区,第一申请人城市,year,biomanufacturing_patent_count,biomanufacturing_score_sum,biomanufacturing_score_mean,biomanufacturing_score_max,evidence_score_sum,evidence_score_mean,core_score_mean,core_score_max,main_categories,main_sub_categories,industry_segments,matched_terms,first_applicant_types
中国医学科学院药物研究所,中国,北京市,2022,2,8,4.0,4,20,10.0,4.0,4,底盘细胞与菌株工程；测试筛选与自动化,耐受与适应性进化；高通量构建与筛选,底层工具；技术平台,CRISPR；核苷酸；生物合成途径；适应性实验室进化；高通量筛选,科研单位
中国医学科学院药物研究所,中国,北京市,2023,1,4,4.0,4,8,8.0,4.0,4,代谢工程与细胞工厂,表达系统,技术平台,基因敲除；表达盒,科研单位
中国医学科学院药用植物研究所,中国,北京,2024,4,14,3.5,4,23,5.75,3.5,4,DNA/RNA读写编辑；产品与应用；代谢工程与细胞工厂；生物元件与线路,代谢工程；农业生物制造；基因合成；模块化装配,应用产品；底层工具；技术平台,基因合成；基因组装；多基因组装；微生物肥料；戊二酸；核苷酸；生物合成途径；谷氨酸,科研单位
中国医学科学院药用植物研究所,中国,北京,2025,7,21,3.0,5,26,3.7142857142857144,3.0,5,产品与应用；生物制造基础；生物过程与规模化；酶与蛋白质工程,发酵工程；合成生物学；酶工程；高值活性分子,应用产品；技术平台；生产制造,丙氨酸；合成生物学；微生物发酵；核苷酸；生物发酵；精氨酸；苏氨酸；谷氨酸；赖氨酸；酶工程,科研单位
中国医学科学院药用植物研究所,中国,北京市,2021,2,8,4.0,4,12,6.0,4.0,4,DNA/RNA读写编辑；代谢工程与细胞工厂,代谢工程；基因合成,底层工具；技术平台,基因合成；核苷酸；生物合成途径,科研单位
中国医学科学院药用植物研究所,中国,北京市,2022,10,36,3.6,5,56,5.6,3.6,5,产品与应用；生物制造基础；酶与蛋白质工程,合成生物学；生物催化；高值活性分子,应用产品；技术平台；生产制造,代谢工程；合成生物学；核苷酸；生物合成途径；酶催化合成,科研单位
中国医学科学院药用植物研究所,中国,北京市,2023,2,6,3.0,4,6,3.0,3.0,4,DNA/RNA读写编辑；产品与应用,基因与基因组编辑；高值活性分子,应用产品；底层工具,CRISPR；基因组编辑；核苷酸,科研单位
中国医学科学院药用植物研究所海南分所,中国,海口市,2021,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,下游分离纯化,生产制造,膜过滤,科研单位
中国医学科学院药用植物研究所海南分所,中国,海口市,2022,1,4,4.0,4,4,4.0,4.0,4,生物过程与规模化,发酵工程,生产制造,微生物发酵；生物发酵,科研单位
中国医学科学院血液病医院(中国医学科学院血液学研究所),中国,天津,2024,1,4,4.0,4,8,8.0,4.0,4,DNA/RNA读写编辑,基因测序,底层工具,基因编辑；纳米孔测序,科研单位
中国医学科学院血液病医院(中国医学科学院血液学研究所),中国,天津,2025,1,4,4.0,4,7,7.0,4.0,4,生物过程与规模化,工艺放大与中试,生产制造,生物反应器；规模化培养,"科研单位,企业"
中国医学科学院血液病医院(中国医学科学院血液学研究所),中国,天津市,2023,5,20,4.0,4,25,5.0,4.0,4,DNA/RNA读写编辑,基因与基因组编辑,底层工具,CRISPR；CRISPR-Cas9；iPSC；基因敲入；基因组编辑；基因编辑；核苷酸,科研单位
中国医学科学院血液病医院(血液学研究所),中国,天津市,2021,1,4,4.0,4,7,7.0,4.0,4,DNA/RNA读写编辑,基因与基因组编辑,底层工具,iPSC；基因编辑,科研单位
中国医科大学,中国,沈阳,2024,3,8,2.6666666666666665,4,12,4.0,2.6666666666666665,4,产品与应用；前沿生物制造,3D生物打印；可降解聚合物；高值活性分子,前沿制造；应用产品,紫杉醇；细胞打印；聚乳酸；肝素；胶原蛋白；透明质酸,学校
中国医科大学附属口腔医院,中国,沈阳市,2023,1,4,4.0,4,4,4.0,4.0,4,生物过程与规模化,连续制造与过程强化,生产制造,连续培养,机关团体
中国医科大学附属盛京医院,中国,沈阳市,2021,2,6,3.0,4,6,3.0,3.0,4,产品与应用；测试筛选与自动化,微流控与单细胞筛选；高值活性分子,应用产品；底层工具,FACS；核苷酸,机关团体
中国医科大学附属第一医院,中国,沈阳市,2023,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,赖氨酸,机关团体
中国医药集团联合工程有限公司,中国,武汉,2024,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,发酵罐,企业
中国华电科工集团有限公司,中国,北京,2025,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,发酵罐,"企业,企业"
中国国家铁路集团有限公司,中国,北京,2025,1,2,2.0,2,2,2.0,2.0,2,产品与应用,农业生物制造,应用产品,微生物肥料,"企业,学校"
中国地质大学(北京),中国,北京市,2021,2,6,3.0,3,6,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,生物反应器,学校
中国地质大学(北京),中国,北京市,2022,2,5,2.5,3,5,2.5,2.5,3,产品与应用；生物过程与规模化,平台化合物；生物反应器,应用产品；生产制造,生物反应器；衣康酸,"学校；科研单位,学校"
中国地质大学(武汉),中国,武汉市,2023,1,2,2.0,2,4,4.0,2.0,2,产品与应用,高值活性分子,应用产品,核苷酸；生物燃料,学校
中国地质环境监测院,中国,北京市,2023,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,发酵罐,科研单位
中国地质科学院矿产综合利用研究所,中国,成都市,2021,1,4,4.0,4,4,4.0,4.0,4,生物过程与规模化,发酵工程,生产制造,生物发酵,科研单位
中国地质调查局成都地质调查中心(西南地质科技创新中心),中国,成都,2025,1,2,2.0,2,2,2.0,2.0,2,产品与应用,可降解聚合物,应用产品,聚乳酸,科研单位
中国地质调查局油气资源调查中心,中国,北京,2024,1,4,4.0,4,4,4.0,4.0,4,原料与低碳路线,人工碳循环与固碳,原料层,微生物固碳；生物固碳,科研单位
中国工程物理研究院核物理与化学研究所,中国,绵阳,2024,1,1,1.0,1,1,1.0,1.0,1,产品与应用,重组药物与生物活性原料,应用产品,透明质酸,科研单位
中国市政工程中南设计研究总院有限公司,中国,武汉,2024,2,6,3.0,3,6,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,发酵罐；生物反应器,"企业；企业,学校"
中国市政工程中南设计研究总院有限公司,中国,武汉市,2022,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,生物反应器,企业
中国市政工程中南设计研究总院有限公司,中国,武汉市,2023,2,6,3.0,3,6,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,生物反应器,企业
中国极地研究中心(中国极地研究所),中国,上海市,2022,1,2,2.0,2,2,2.0,2.0,2,产品与应用,高值活性分子,应用产品,核苷酸,科研单位
中国林业科学研究院,中国,北京,2024,2,6,3.0,4,12,6.0,3.0,4,产品与应用；代谢工程与细胞工厂,表达系统；高值活性分子,应用产品；技术平台,CRISPR；基因敲除；基因编辑；核苷酸；表达盒,科研单位
中国林业科学研究院,中国,北京,2025,1,2,2.0,2,2,2.0,2.0,2,产品与应用,高值活性分子,应用产品,核苷酸,科研单位
中国林业科学研究院亚热带林业研究所,中国,杭州,2025,1,2,2.0,2,2,2.0,2.0,2,产品与应用,高值活性分子,应用产品,核苷酸,科研单位
中国林业科学研究院亚热带林业研究所,中国,杭州市,2021,4,9,2.25,4,9,2.25,2.25,4,产品与应用；生物过程与规模化,发酵工程；氨基酸与有机酸发酵产品；高值活性分子,应用产品；生产制造,丙氨酸；微生物发酵；核苷酸；生物发酵,科研单位
中国林业科学研究院亚热带林业研究所,中国,杭州市,2022,1,4,4.0,4,4,4.0,4.0,4,酶与蛋白质工程,生物催化,生产制造,生物转化,科研单位
中国林业科学研究院亚热带林业研究所,中国,杭州市,2023,1,3,3.0,3,3,3.0,3.0,3,产品与应用,天然产物与精细化学品,应用产品,萜类生物合成,科研单位
中国林业科学研究院华北林业实验中心,中国,北京,2024,1,2,2.0,2,2,2.0,2.0,2,产品与应用,高值活性分子,应用产品,核苷酸,科研单位
中国林业科学研究院华北林业实验中心,中国,北京市,2023,2,4,2.0,2,4,2.0,2.0,2,产品与应用,高值活性分子,应用产品,核苷酸,科研单位
中国林业科学研究院林业研究所,中国,北京,2025,4,8,2.0,2,8,2.0,2.0,2,产品与应用,高值活性分子,应用产品,核苷酸,科研单位
中国林业科学研究院林业研究所,中国,北京市,2021,1,2,2.0,2,2,2.0,2.0,2,产品与应用,高值活性分子,应用产品,核苷酸,科研单位
中国林业科学研究院林业研究所,中国,北京市,2022,4,10,2.5,4,10,2.5,2.5,4,产品与应用；代谢工程与细胞工厂,表达系统；高值活性分子,应用产品；技术平台,核苷酸；诱导表达,科研单位
中国林业科学研究院林业研究所,中国,北京市,2023,5,20,4.0,4,30,6.0,4.0,4,DNA/RNA读写编辑；代谢工程与细胞工厂,基因与基因组编辑；表达系统,底层工具；技术平台,CRISPR；定点突变；核苷酸；表达盒,科研单位
中国林业科学研究院林产化学工业研究所,中国,南京,2025,4,10,2.5,3,10,2.5,2.5,3,产品与应用；原料与低碳路线；生物过程与规模化,下游分离纯化；氨基酸与有机酸发酵产品；非粮生物质,原料层；应用产品；生产制造,木质纤维素；膜过滤；葡萄糖酸,科研单位
中国林业科学研究院林产化学工业研究所,中国,南京市,2021,2,6,3.0,4,6,3.0,3.0,4,产品与应用；酶与蛋白质工程,平台化合物；生物催化,应用产品；生产制造,琥珀酸；生物转化,"企业,科研单位；科研单位"
中国林业科学研究院林产化学工业研究所,中国,南京市,2022,4,16,4.0,4,24,6.0,4.0,4,生物过程与规模化,发酵工程,生产制造,发酵生产；固态发酵；微生物发酵；木质纤维素；生物发酵；膜过滤；衣康酸,科研单位
中国林业科学研究院林产化学工业研究所,中国,南京市,2023,4,11,2.75,4,15,3.75,2.75,4,产品与应用；原料与低碳路线；酶与蛋白质工程,氨基酸与有机酸发酵产品；生物催化；非粮生物质,原料层；应用产品；生产制造,固态发酵；木质纤维素；柠檬酸；液态发酵；生物转化,"企业,科研单位；科研单位"
中国林业科学研究院热带林业研究所,中国,广州市,2022,1,2,2.0,2,2,2.0,2.0,2,产品与应用,高值活性分子,应用产品,核苷酸,科研单位
中国林业科学研究院经济林研究所,中国,郑州,2024,1,4,4.0,4,4,4.0,4.0,4,计算设计与AI,多组学与系统建模,底层工具,转录组学,科研单位
中国林业科学研究院经济林研究所,中国,郑州市,2023,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,柠檬酸,科研单位
中国标准化研究院,中国,北京,2024,1,4,4.0,4,7,7.0,4.0,4,酶与蛋白质工程,生物催化,生产制造,固定化酶；生物催化,科研单位
中国标准化研究院,中国,北京,2025,1,4,4.0,4,5,5.0,4.0,4,酶与蛋白质工程,酶工程,技术平台,肝素；酶工程,科研单位
中国检验检疫科学研究院,中国,北京,2024,2,8,4.0,4,10,5.0,4.0,4,DNA/RNA读写编辑；计算设计与AI,基因与基因组编辑；多组学与系统建模,底层工具,CRISPR；代谢组学；基因敲除；基因编辑；核苷酸,科研单位
中国检验检疫科学研究院,中国,北京,2025,3,12,4.0,4,16,5.333333333333333,4.0,4,DNA/RNA读写编辑；代谢工程与细胞工厂,基因与基因组编辑；表达系统,底层工具；技术平台,CRISPR；基因编辑；核苷酸；诱导表达,"科研单位；科研单位,学校"
中国水产科学研究院北戴河中心实验站,中国,秦皇岛,2024,1,4,4.0,4,4,4.0,4.0,4,DNA/RNA读写编辑,基因与基因组编辑,底层工具,CRISPR,科研单位
中国水产科学研究院南海水产研究所,中国,广州,2024,3,12,4.0,4,12,4.0,4.0,4,生物过程与规模化,发酵工程,生产制造,微生物发酵；生物发酵,"企业,科研单位；科研单位"
中国水产科学研究院南海水产研究所,中国,广州,2025,3,12,4.0,4,17,5.666666666666667,4.0,4,DNA/RNA读写编辑；原料与低碳路线,人工碳循环与固碳；基因与基因组编辑,原料层；底层工具,光生物反应器；基因组编辑；基因编辑；核苷酸；生物反应器；生物固碳,"科研单位；科研单位,机关团体"
中国水产科学研究院南海水产研究所,中国,广州市,2021,2,4,2.0,2,4,2.0,2.0,2,产品与应用,可降解聚合物；高值活性分子,应用产品,核苷酸；聚乳酸,科研单位
中国水产科学研究院南海水产研究所,中国,广州市,2022,2,8,4.0,4,8,4.0,4.0,4,生物过程与规模化,发酵工程,生产制造,微生物发酵；生物发酵,科研单位
中国水产科学研究院南海水产研究所,中国,广州市,2023,5,20,4.0,4,21,4.2,4.0,4,DNA/RNA读写编辑；生物过程与规模化,发酵工程；基因与基因组编辑；基因测序,底层工具；生产制造,单分子测序；发酵生产；基因敲除；生物发酵；谷氨酸,"科研单位；科研单位,学校"
中国水产科学研究院淡水渔业研究中心,中国,无锡,2025,1,4,4.0,4,4,4.0,4.0,4,生物过程与规模化,发酵工程,生产制造,生物发酵,科研单位
中国水产科学研究院淡水渔业研究中心,中国,无锡市,2023,2,9,4.5,5,9,4.5,4.5,5,底盘细胞与菌株工程；酶与蛋白质工程,底盘细胞；生物催化,技术平台；生产制造,人工合成细胞；合成细胞；生物转化,科研单位
中国水产科学研究院渔业机械仪器研究所,中国,上海市,2021,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,下游分离纯化,生产制造,分离纯化,科研单位
中国水产科学研究院渔业机械仪器研究所,中国,上海市,2023,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,生物反应器,科研单位
中国水产科学研究院珠江水产研究所,中国,广州,2024,3,7,2.3333333333333335,4,7,2.3333333333333335,2.3333333333333335,4,DNA/RNA读写编辑；产品与应用,基因与基因组编辑；氨基酸与有机酸发酵产品；高值活性分子,应用产品；底层工具,CRISPR；柠檬酸；核苷酸,科研单位
中国水产科学研究院珠江水产研究所,中国,广州,2025,1,2,2.0,2,2,2.0,2.0,2,产品与应用,平台化合物,应用产品,丁二酸,科研单位
中国水产科学研究院珠江水产研究所,中国,广州市,2021,2,5,2.5,4,6,3.0,2.5,4,产品与应用；生物过程与规模化,发酵工程；重组药物与生物活性原料,应用产品；生产制造,丙酮酸；固态发酵；肝素；谷氨酸,"企业,科研单位；科研单位"
中国水产科学研究院珠江水产研究所,中国,广州市,2023,1,1,1.0,1,2,2.0,1.0,1,产品与应用,重组药物与生物活性原料,应用产品,丙酮酸；胶原蛋白,科研单位
中国水产科学研究院黄海水产研究所,中国,青岛,2024,3,10,3.3333333333333335,4,11,3.6666666666666665,3.3333333333333335,4,产品与应用；酶与蛋白质工程,酶工程；高值活性分子,应用产品；技术平台,核苷酸；精氨酸；苏氨酸；酶工程,科研单位
中国水产科学研究院黄海水产研究所,中国,青岛,2025,6,24,4.0,4,45,7.5,4.0,4,代谢工程与细胞工厂；酶与蛋白质工程,生物催化；表达系统；酶工程,技术平台；生产制造,丙氨酸；分泌表达；固定化酶；定点突变；核苷酸；生物催化；精氨酸；细胞破碎；苏氨酸；酶工程,"企业,科研单位；科研单位"
中国水产科学研究院黄海水产研究所,中国,青岛市,2021,3,8,2.6666666666666665,4,8,2.6666666666666665,2.6666666666666665,4,产品与应用；生物过程与规模化,连续制造与过程强化；高值活性分子,应用产品；生产制造,核苷酸；肌醇；连续培养,科研单位
中国水产科学研究院黄海水产研究所,中国,青岛市,2022,2,5,2.5,3,7,3.5,2.5,3,产品与应用；原料与低碳路线,非粮生物质；高值活性分子,原料层；应用产品,木质纤维素；核苷酸；熊果苷,科研单位
中国水产科学研究院黄海水产研究所,中国,青岛市,2023,4,16,4.0,4,30,7.5,4.0,4,DNA/RNA读写编辑；生物过程与规模化；酶与蛋白质工程,发酵工程；基因与基因组编辑；定向进化；生物催化,底层工具；技术平台；生产制造,DNA测序；基因编辑；定向进化；柠檬酸；核苷酸；生物催化；生物反应器；连续发酵,科研单位
中国水产科学研究院黑龙江水产研究所,中国,哈尔滨,2024,1,2,2.0,2,2,2.0,2.0,2,产品与应用,高值活性分子,应用产品,核苷酸,科研单位
中国水产科学研究院黑龙江水产研究所,中国,哈尔滨市,2022,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,赖氨酸,科研单位
中国水利水电科学研究院,中国,北京市,2022,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,生物反应器,科研单位
中国水利水电科学研究院,中国,北京市,2023,2,7,3.5,4,7,3.5,3.5,4,DNA/RNA读写编辑；生物过程与规模化,基因测序；生物反应器,底层工具；生产制造,生物反应器；高通量测序,科研单位
中国水利水电第三工程局有限公司,中国,西安,2025,1,2,2.0,2,2,2.0,2.0,2,产品与应用,可降解聚合物,应用产品,聚乳酸,企业
中国水稻研究所,中国,杭州,2024,2,6,3.0,4,8,4.0,3.0,4,DNA/RNA读写编辑；产品与应用,基因与基因组编辑；高值活性分子,应用产品；底层工具,基因编辑；核苷酸,科研单位
中国水稻研究所,中国,杭州,2025,8,28,3.5,4,38,4.75,3.5,4,DNA/RNA读写编辑；产品与应用；代谢工程与细胞工厂,基因与基因组编辑；表达系统；高值活性分子,应用产品；底层工具；技术平台,CRISPR；基因编辑；核苷酸；表达盒,"科研单位；科研单位,科研单位"
中国水稻研究所,中国,杭州市,2021,7,26,3.7142857142857144,4,40,5.714285714285714,3.7142857142857144,4,DNA/RNA读写编辑；产品与应用；代谢工程与细胞工厂,基因与基因组编辑；基因合成；表达系统；高值活性分子,应用产品；底层工具；技术平台,CRISPR；CRISPR/Cas；基因合成；基因敲除；基因编辑；核苷酸；表达盒,科研单位
中国水稻研究所,中国,杭州市,2022,6,18,3.0,4,24,4.0,3.0,4,DNA/RNA读写编辑；产品与应用；代谢工程与细胞工厂,代谢工程；基因与基因组编辑；高值活性分子,应用产品；底层工具；技术平台,CRISPR；代谢工程；基因敲除；基因编辑；核苷酸,科研单位
中国水稻研究所,中国,杭州市,2023,6,14,2.3333333333333335,4,14,2.3333333333333335,2.3333333333333335,4,产品与应用；代谢工程与细胞工厂,表达系统；高值活性分子,应用产品；技术平台,核苷酸；表达盒,科研单位
中国海洋大学,中国,青岛,2024,26,84,3.230769230769231,4,101,3.8846153846153846,3.230769230769231,4,DNA/RNA读写编辑；产品与应用；代谢工程与细胞工厂；生物过程与规模化；酶与蛋白质工程,下游分离纯化；发酵工程；基因与基因组编辑；工艺放大与中试；生物催化；生物反应器；生物能源与燃料；蛋白质工程；表达系统；酶工程；重组药物与生物活性原料；高值活性分子,应用产品；底层工具；技术平台；生产制造,CRISPR；分离纯化；单克隆抗体；发酵工程；发酵生产；发酵罐；培养肉；基因敲除；基因编辑；定点突变；工业化放大；微生物发酵；核苷酸；生物催化；生物反应器；生物发酵；生物燃料；细胞培养肉；细胞破碎；虾青素；蛋白质工程；表达盒；透明质酸；酶工程；重组抗体,"企业,学校；学校；科研单位,学校"
中国海洋大学,中国,青岛,2025,22,64,2.909090909090909,4,76,3.4545454545454546,2.909090909090909,4,DNA/RNA读写编辑；产品与应用；代谢工程与细胞工厂；生物过程与规模化；酶与蛋白质工程,下游分离纯化；代谢工程；发酵工程；基因测序；氨基酸与有机酸发酵产品；消费品与个护原料；生物催化；生物反应器；蛋白质工程；酶工程；重组药物与生物活性原料；食品与营养；高值活性分子,应用产品；底层工具；技术平台；生产制造,丙氨酸；分离纯化；发酵罐；培养肉；微生物发酵；微生物蛋白；易错PCR；核苷酸；生物发酵；生物合成途径；生物表面活性剂；生物转化；细胞培养肉；胶原蛋白；蛋白质工程；赖氨酸；透明质酸；酶工程；高通量测序,"企业,学校；学校；学校,企业；学校,科研单位；科研单位,学校"
中国海洋大学,中国,青岛市,2021,17,52,3.0588235294117645,4,60,3.5294117647058822,3.0588235294117645,4,产品与应用；代谢工程与细胞工厂；生物过程与规模化；酶与蛋白质工程,下游分离纯化；发酵工程；生物催化；生物反应器；表达系统；酶工程；重组药物与生物活性原料；高值活性分子,应用产品；技术平台；生产制造,分离纯化；发酵工程；发酵生产；发酵罐；层析纯化；微生物发酵；核苷酸；生物反应器；生物发酵；生物转化；胶原蛋白；膜生物反应器；膜过滤；虾青素；表达宿主；酶工程；高通量筛选,"企业,学校；学校"
中国海洋大学,中国,青岛市,2022,35,100,2.857142857142857,5,131,3.742857142857143,2.857142857142857,5,DNA/RNA读写编辑；产品与应用；代谢工程与细胞工厂；生物制造基础；生物过程与规模化；酶与蛋白质工程,下游分离纯化；发酵工程；基因与基因组编辑；天然产物与精细化学品；核心概念；氨基酸与有机酸发酵产品；生物催化；生物反应器；生物能源与燃料；表达系统；过程控制与优化；酶工程；重组药物与生物活性原料；高值活性分子,应用产品；底层工具；技术平台；生产制造,CRISPR；pH控制；光生物反应器；分离纯化；发酵工程；发酵生产；发酵罐；基因编辑；天然产物生物合成；微生物发酵；核苷酸；生物催化；生物制造；生物反应器；生物发酵；生物燃料；精氨酸；纤维素酶制剂；肝素；虾青素；诱导表达；赖氨酸；酶工程,"企业,学校；学校；科研单位,学校"
中国海洋大学,中国,青岛市,2023,25,70,2.8,4,83,3.32,2.8,4,DNA/RNA读写编辑；产品与应用；代谢工程与细胞工厂；生物过程与规模化；计算设计与AI,下游分离纯化；发酵工程；基因与基因组编辑；多组学与系统建模；氨基酸与有机酸发酵产品；生物反应器；表达系统；重组药物与生物活性原料；高值活性分子,应用产品；底层工具；技术平台；生产制造,丙氨酸；丙酮酸；分离纯化；单克隆抗体；发酵工程；发酵罐；固态发酵；基因编辑；富马酸；柠檬酸；核苷酸；生物反应器；生物合成途径；甲硫氨酸；精氨酸；肌醇；膜过滤；苏氨酸；蛋氨酸；蛋白质组学；表达宿主；诱导表达；谷氨酸；赖氨酸；透明质酸,"企业,学校；学校"
中国海洋大学三亚海洋研究院,中国,三亚,2024,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,发酵罐,科研单位
中国海洋大学三亚海洋研究院,中国,三亚,2025,1,1,1.0,1,2,2.0,1.0,1,产品与应用,重组药物与生物活性原料,应用产品,胶原蛋白；赖氨酸,科研单位
中国海洋大学三亚海洋研究院,中国,三亚市,2024,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,发酵罐,科研单位
中国海洋石油集团有限公司,中国,北京市,2022,1,4,4.0,4,6,6.0,4.0,4,生物过程与规模化,发酵工程,生产制造,发酵生产；柠檬酸；生物表面活性剂,企业
中国海诚工程科技股份有限公司,中国,上海市,2023,1,2,2.0,2,4,4.0,2.0,2,产品与应用,平台化合物,应用产品,丁二酸；聚乳酸；聚羟基脂肪酸酯,企业
中国烟草中南农业试验站,中国,长沙市,2021,1,2,2.0,2,2,2.0,2.0,2,产品与应用,农业生物制造,应用产品,生物农药,"科研单位,学校"
中国烟草中南农业试验站,中国,长沙市,2023,2,8,4.0,4,8,4.0,4.0,4,生物过程与规模化,发酵工程,生产制造,生物发酵,科研单位
中国烟草总公司四川省公司,中国,成都,2025,1,4,4.0,4,4,4.0,4.0,4,DNA/RNA读写编辑,基因与基因组编辑,底层工具,基因编辑,企业
中国烟草总公司湖南省公司,中国,长沙,2025,3,11,3.6666666666666665,4,11,3.6666666666666665,3.6666666666666665,4,DNA/RNA读写编辑；酶与蛋白质工程,基因与基因组编辑；酶固定化与反应体系,底层工具；生产制造,基因编辑；酶固定化,"企业；企业,企业"
中国烟草总公司郑州烟草研究院,中国,郑州,2024,4,15,3.75,4,19,4.75,3.75,4,DNA/RNA读写编辑；生物过程与规模化,发酵工程；基因与基因组编辑；生物反应器,底层工具；生产制造,CRISPR；发酵罐；基因敲除；基因编辑；核苷酸；生物发酵,企业
中国烟草总公司郑州烟草研究院,中国,郑州,2025,6,16,2.6666666666666665,4,19,3.1666666666666665,2.6666666666666665,4,DNA/RNA读写编辑；产品与应用,基因与基因组编辑；高值活性分子,应用产品；底层工具,基因敲除；基因编辑；核苷酸；苹果酸,企业
中国烟草总公司郑州烟草研究院,中国,郑州市,2021,4,10,2.5,4,11,2.75,2.5,4,DNA/RNA读写编辑；产品与应用,基因与基因组编辑；高值活性分子,应用产品；底层工具,基因编辑；核苷酸；苹果酸,企业
中国烟草总公司郑州烟草研究院,中国,郑州市,2022,12,41,3.4166666666666665,4,69,5.75,3.4166666666666665,4,DNA/RNA读写编辑；产品与应用；酶与蛋白质工程,RNA工程；基因与基因组编辑；定向进化；氨基酸与有机酸发酵产品；高值活性分子,应用产品；底层工具；技术平台,RNA编辑；丙氨酸；基因敲除；基因编辑；定向突变；定向进化；核苷酸；突变体文库；谷氨酸,企业
中国烟草总公司陕西省公司,中国,西安市,2022,1,4,4.0,4,7,7.0,4.0,4,生物过程与规模化,发酵工程,生产制造,分离纯化；固态发酵；膜分离,企业
中国烟草总公司黑龙江省公司牡丹江烟草科学研究所,中国,哈尔滨市,2021,1,2,2.0,2,2,2.0,2.0,2,产品与应用,农业生物制造,应用产品,生物农药,企业
中国烟草总公司黑龙江省公司牡丹江烟草科学研究所,中国,哈尔滨市,2022,3,6,2.0,2,8,2.6666666666666665,2.0,2,产品与应用,高值活性分子,应用产品,核苷酸；精氨酸；谷氨酸；赖氨酸,"企业,学校"
中国热带农业科学院,中国,海口市,2022,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,发酵罐,"其他,科研单位"
中国热带农业科学院三亚研究院,中国,三亚,2024,5,12,2.4,4,12,2.4,2.4,4,DNA/RNA读写编辑；产品与应用,基因与基因组编辑；氨基酸与有机酸发酵产品；高值活性分子,应用产品；底层工具,CRISPR；基因敲除；基因编辑；核苷酸；谷氨酸；赖氨酸,"科研单位；科研单位,学校"
中国热带农业科学院三亚研究院,中国,三亚,2025,6,20,3.3333333333333335,4,24,4.0,3.3333333333333335,4,DNA/RNA读写编辑；产品与应用,基因与基因组编辑；高值活性分子,应用产品；底层工具,CRISPR；CRISPR/Cas；基因编辑；核苷酸,"科研单位；科研单位,科研单位"
中国热带农业科学院三亚研究院,中国,三亚市,2023,2,4,2.0,3,7,3.5,2.0,3,产品与应用；生物过程与规模化,下游分离纯化；氨基酸与有机酸发酵产品,应用产品；生产制造,分离纯化；戊二酸；柠檬酸；琥珀酸；苹果酸；谷氨酸,"企业,科研单位；科研单位"
中国热带农业科学院农业机械研究所,中国,湛江,2024,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,发酵罐,科研单位
中国热带农业科学院农业机械研究所,中国,湛江,2025,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,发酵罐,科研单位
中国热带农业科学院农业机械研究所,中国,湛江市,2022,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,发酵罐,科研单位
中国热带农业科学院农产品加工研究所,中国,湛江,2024,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,柠檬酸,科研单位
中国热带农业科学院农产品加工研究所,中国,湛江,2025,1,1,1.0,1,1,1.0,1.0,1,产品与应用,重组药物与生物活性原料,应用产品,胶原蛋白,科研单位
中国热带农业科学院农产品加工研究所,中国,湛江市,2021,1,3,3.0,3,7,7.0,3.0,3,生物过程与规模化,生物反应器,生产制造,发酵罐；柠檬酸；膜过滤,科研单位
中国热带农业科学院南亚热带作物研究所,中国,湛江,2024,1,2,2.0,2,2,2.0,2.0,2,产品与应用,高值活性分子,应用产品,核苷酸,科研单位
中国热带农业科学院南亚热带作物研究所,中国,湛江市,2023,1,2,2.0,2,2,2.0,2.0,2,产品与应用,高值活性分子,应用产品,核苷酸,科研单位
中国热带农业科学院橡胶研究所,中国,海口,2024,6,20,3.3333333333333335,4,30,5.0,3.3333333333333335,4,DNA/RNA读写编辑；产品与应用；代谢工程与细胞工厂；底盘细胞与菌株工程,基因与基因组编辑；基因测序；工业菌种创制；表达系统；高值活性分子,应用产品；底层工具；技术平台,基因编辑；核苷酸；肌醇；表达盒；高产菌株；高通量测序,科研单位
