第一申请人,第一申请人地区,第一申请人城市,first_year,last_year,biomanufacturing_patent_count,biomanufacturing_score_sum,biomanufacturing_score_mean,biomanufacturing_score_max,evidence_score_sum,evidence_score_mean,core_score_mean,core_score_max,main_categories,main_sub_categories,industry_segments,matched_terms,first_applicant_types,firm_main_category,firm_main_sub_category,firm_main_industry_segment
北京好实沃生物技术有限公司,中国,北京市,2021,2022,3,7,2.3333333333333335,3,11,3.6666666666666665,2.3333333333333335,3,产品与应用；生物过程与规模化,氨基酸与有机酸发酵产品；生物反应器；过程控制与优化,应用产品；生产制造,发酵罐；发酵过程控制；溶氧控制；葡萄糖酸；谷氨酸,企业,生物过程与规模化,氨基酸与有机酸发酵产品,生产制造
北京姿美堂生物技术股份有限公司,中国,北京,2024,2024,1,2,2.0,2,3,3.0,2.0,2,产品与应用,高值活性分子,应用产品,胶原蛋白；虾青素；透明质酸,企业,产品与应用,高值活性分子,应用产品
北京婼薇乐护肤品有限公司,中国,北京市,2022,2022,1,2,2.0,2,4,4.0,2.0,2,产品与应用,高值活性分子,应用产品,熊果苷；精氨酸；苏氨酸；谷氨酸；透明质酸,企业,产品与应用,高值活性分子,应用产品
北京安图生物工程有限公司,中国,北京,2024,2024,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,葡萄糖酸,企业,产品与应用,氨基酸与有机酸发酵产品,应用产品
北京宝易生物技术有限公司,中国,北京市,2022,2022,1,4,4.0,4,5,5.0,4.0,4,DNA/RNA读写编辑,基因合成,底层工具,基因合成；精氨酸,企业,DNA/RNA读写编辑,基因合成,底层工具
北京实验动物研究中心有限公司,中国,北京,2024,2024,1,4,4.0,4,4,4.0,4.0,4,DNA/RNA读写编辑,基因与基因组编辑,底层工具,CRISPR；基因敲除；基因编辑,企业,DNA/RNA读写编辑,基因与基因组编辑,底层工具
北京富盛嘉华医药科技有限公司,中国,北京市,2023,2023,1,4,4.0,4,4,4.0,4.0,4,酶与蛋白质工程,生物催化,生产制造,生物催化,企业,酶与蛋白质工程,生物催化,生产制造
北京工业大学,中国,北京,2024,2025,22,65,2.9545454545454546,4,84,3.8181818181818183,2.9545454545454546,4,产品与应用；生物过程与规模化,下游分离纯化；发酵工程；可降解聚合物；生物反应器；过程控制与优化；连续制造与过程强化,应用产品；生产制造,PHA；pH控制；发酵罐；柠檬酸；生物反应器；生物发酵；膜分离；膜生物反应器；软测量；连续发酵；连续培养,"学校；学校,学校",生物过程与规模化,生物反应器,生产制造
北京工业大学,中国,北京市,2021,2024,65,199,3.0615384615384613,4,237,3.646153846153846,3.0615384615384613,4,DNA/RNA读写编辑；产品与应用；测试筛选与自动化；生物过程与规模化；计算设计与AI；酶与蛋白质工程,下游分离纯化；发酵工程；可降解聚合物；基因测序；多组学与系统建模；微流控与单细胞筛选；氨基酸与有机酸发酵产品；消费品与个护原料；生物催化；生物反应器；生物能源与燃料；过程控制与优化；连续制造与过程强化；高值活性分子,应用产品；底层工具；生产制造,PHA；pH控制；丙酸；代谢组学；分离纯化；单细胞筛选；发酵生产；发酵罐；基因测序；微生物发酵；柠檬酸；核苷酸；生物催化；生物反应器；生物发酵；生物燃料；生物表面活性剂；聚羟基脂肪酸酯；膜分离；膜生物反应器；膜过滤；软测量；连续培养；高通量测序,"企业,学校；学校",生物过程与规模化,生物反应器,生产制造
北京工商大学,中国,北京,2024,2025,9,30,3.3333333333333335,4,31,3.4444444444444446,3.3333333333333335,4,产品与应用；原料与低碳路线；生物过程与规模化；酶与蛋白质工程,发酵工程；氨基酸与有机酸发酵产品；生物催化；非粮生物质；高值活性分子,原料层；应用产品；生产制造,丙酸；发酵生产；微生物发酵；木质纤维素；核苷酸；生物催化；生物发酵；甲硫氨酸,学校,生物过程与规模化,发酵工程,生产制造
北京工商大学,中国,北京市,2021,2023,18,50,2.7777777777777777,4,55,3.0555555555555554,2.7777777777777777,4,产品与应用；代谢工程与细胞工厂；测试筛选与自动化；生物过程与规模化；酶与蛋白质工程,下游分离纯化；发酵工程；工艺放大与中试；氨基酸与有机酸发酵产品；生物催化；生物反应器；表达系统；重组药物与生物活性原料；高值活性分子；高通量构建与筛选,应用产品；技术平台；生产制造,丙氨酸；分泌表达；发酵工程；发酵生产；发酵罐；固态发酵；放大培养；核苷酸；生物转化；甲硫氨酸；精氨酸；细胞破碎；胶原蛋白；蛋氨酸；诱导表达；透明质酸；高通量筛选,"企业,学校；学校",生物过程与规模化,发酵工程,生产制造
北京市一滴水环保科技有限公司,中国,北京市,2022,2022,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,生物反应器；膜生物反应器,企业,生物过程与规模化,生物反应器,生产制造
北京市农林科学院,中国,北京,2024,2025,7,26,3.7142857142857144,4,29,4.142857142857143,3.7142857142857144,4,DNA/RNA读写编辑；产品与应用；代谢工程与细胞工厂；底盘细胞与菌株工程,基因与基因组编辑；工业菌种创制；菌种选育与诱变；表达系统；高值活性分子,应用产品；底层工具；技术平台,基因敲除；基因编辑；定点突变；工程菌构建；核苷酸；碱基编辑；膜过滤；菌种选育；表达盒,"企业,科研单位；科研单位",DNA/RNA读写编辑,基因与基因组编辑,底层工具
北京市农林科学院,中国,北京市,2021,2023,19,73,3.8421052631578947,4,97,5.105263157894737,3.8421052631578947,4,DNA/RNA读写编辑；产品与应用；代谢工程与细胞工厂；原料与低碳路线；生物过程与规模化,发酵工程；基因与基因组编辑；表达系统；非粮生物质；高值活性分子,原料层；应用产品；底层工具；技术平台；生产制造,CRISPR；农林废弃物；固态发酵；基因敲除；基因组编辑；基因编辑；定点突变；核苷酸；碱基编辑；表达盒,科研单位,代谢工程与细胞工厂,表达系统,技术平台
北京市农林科学院智能装备技术研究中心,中国,北京,2024,2024,1,3,3.0,3,3,3.0,3.0,3,原料与低碳路线,非粮生物质,原料层,农林废弃物,科研单位,原料与低碳路线,非粮生物质,原料层
北京市园林绿化科学研究院,中国,北京,2025,2025,2,4,2.0,2,4,2.0,2.0,2,产品与应用,高值活性分子,应用产品,核苷酸,科研单位,产品与应用,高值活性分子,应用产品
北京市好利来食品有限公司,中国,北京市,2022,2022,1,4,4.0,4,4,4.0,4.0,4,生物过程与规模化,发酵工程,生产制造,发酵生产,企业,生物过程与规模化,发酵工程,生产制造
北京市心肺血管疾病研究所,中国,北京,2024,2024,1,4,4.0,4,4,4.0,4.0,4,DNA/RNA读写编辑,基因与基因组编辑,底层工具,CRISPR；基因编辑,"科研单位,机关团体",DNA/RNA读写编辑,基因与基因组编辑,底层工具
北京市心肺血管疾病研究所,中国,北京市,2022,2022,1,4,4.0,4,4,4.0,4.0,4,DNA/RNA读写编辑,基因与基因组编辑,底层工具,CRISPR；基因敲入；基因编辑,科研单位,DNA/RNA读写编辑,基因与基因组编辑,底层工具
北京市房山区种植业技术推广站,中国,北京市,2023,2023,3,5,1.6666666666666667,2,5,1.6666666666666667,1.6666666666666667,2,产品与应用,氨基酸与有机酸发酵产品；高值活性分子,应用产品,柠檬酸；肌醇,机关团体,产品与应用,高值活性分子,应用产品
北京市植物园管理处,中国,北京,2025,2025,1,4,4.0,4,4,4.0,4.0,4,生物过程与规模化,发酵工程,生产制造,生物发酵,机关团体,生物过程与规模化,发酵工程,生产制造
北京市燕京药业有限公司,中国,北京市,2022,2022,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,发酵罐,企业,生物过程与规模化,生物反应器,生产制造
北京市理化分析测试中心,中国,北京市,2022,2022,1,2,2.0,2,2,2.0,2.0,2,产品与应用,高值活性分子,应用产品,核苷酸,科研单位,产品与应用,高值活性分子,应用产品
北京市生态环境保护科学研究院,中国,北京,2024,2024,1,3,3.0,3,3,3.0,3.0,3,原料与低碳路线,非粮生物质,原料层,农林废弃物,科研单位,原料与低碳路线,非粮生物质,原料层
北京市畜牧总站,中国,北京市,2021,2021,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,柠檬酸,机关团体,产品与应用,氨基酸与有机酸发酵产品,应用产品
北京市疾病预防控制中心,中国,北京,2024,2024,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,柠檬酸；苹果酸,机关团体,产品与应用,氨基酸与有机酸发酵产品,应用产品
北京市疾病预防控制中心,中国,北京市,2021,2021,1,2,2.0,2,3,3.0,2.0,2,产品与应用,高值活性分子,应用产品,丙酸；核苷酸,机关团体,产品与应用,高值活性分子,应用产品
北京市神经外科研究所,中国,北京,2025,2025,2,8,4.0,4,11,5.5,4.0,4,DNA/RNA读写编辑；代谢工程与细胞工厂,基因与基因组编辑；表达系统,底层工具；技术平台,单克隆抗体；基因编辑；核苷酸；表达盒,科研单位,DNA/RNA读写编辑,基因与基因组编辑,底层工具
北京市神经外科研究所,中国,北京市,2021,2021,1,1,1.0,1,2,2.0,1.0,1,产品与应用,重组药物与生物活性原料,应用产品,丙酮酸；肝素,科研单位,产品与应用,重组药物与生物活性原料,应用产品
北京市科学技术研究院资源环境研究所,中国,北京市,2023,2023,1,4,4.0,4,4,4.0,4.0,4,生物过程与规模化,发酵工程,生产制造,生物发酵,科研单位,生物过程与规模化,发酵工程,生产制造
北京市紫竹院公园管理处,中国,北京市,2022,2022,2,6,3.0,3,6,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,发酵罐,机关团体,生物过程与规模化,生物反应器,生产制造
北京市耕地建设保护中心,中国,北京市,2023,2023,1,2,2.0,2,2,2.0,2.0,2,产品与应用,可降解聚合物,应用产品,聚乳酸,机关团体,产品与应用,可降解聚合物,应用产品
北京师范大学,中国,北京,2024,2025,3,8,2.6666666666666665,4,8,2.6666666666666665,2.6666666666666665,4,DNA/RNA读写编辑；产品与应用,可降解聚合物；基因测序；生物能源与燃料,应用产品；底层工具,PLA；生物燃料；聚乳酸；高通量测序,学校,产品与应用,基因测序,应用产品
北京师范大学,中国,北京市,2021,2022,5,14,2.8,4,17,3.4,2.8,4,DNA/RNA读写编辑；产品与应用；生物过程与规模化；酶与蛋白质工程,发酵工程；基因与基因组编辑；氨基酸与有机酸发酵产品；生物催化,应用产品；底层工具；生产制造,丙酮酸；丙酸；定点突变；微生物发酵；柠檬酸；核苷酸；生物催化；生物发酵；苏氨酸,学校,产品与应用,氨基酸与有机酸发酵产品,生产制造
北京师范大学珠海校区,中国,珠海,2024,2025,3,9,3.0,4,13,4.333333333333333,3.0,4,产品与应用；代谢工程与细胞工厂；酶与蛋白质工程,生物催化；表达系统；重组药物与生物活性原料,应用产品；技术平台；生产制造,CRISPR；基因编辑；胶原蛋白；表达盒；酶催化合成,学校,酶与蛋白质工程,生物催化,生产制造
北京希诺因生物科技有限公司,中国,北京,2024,2024,1,4,4.0,4,4,4.0,4.0,4,DNA/RNA读写编辑,基因与基因组编辑,底层工具,CRISPR；基因编辑,企业,DNA/RNA读写编辑,基因与基因组编辑,底层工具
北京希诺谷生物科技有限公司,中国,北京,2024,2025,3,12,4.0,4,12,4.0,4.0,4,DNA/RNA读写编辑,基因与基因组编辑,底层工具,CRISPR；基因敲除；基因编辑,"企业,科研单位",DNA/RNA读写编辑,基因与基因组编辑,底层工具
北京希诺谷生物科技有限公司,中国,北京市,2021,2022,2,8,4.0,4,8,4.0,4.0,4,DNA/RNA读写编辑,基因与基因组编辑,底层工具,CRISPR；基因敲除；基因编辑,"企业；企业,科研单位",DNA/RNA读写编辑,基因与基因组编辑,底层工具
北京干细胞与再生医学研究院,中国,北京市,2022,2022,1,4,4.0,4,8,8.0,4.0,4,代谢工程与细胞工厂,表达系统,技术平台,基因编辑；诱导表达,科研单位,代谢工程与细胞工厂,表达系统,技术平台
北京幸福能量健康科技有限公司,中国,北京,2024,2024,1,3,3.0,3,4,4.0,3.0,3,生物过程与规模化,下游分离纯化,生产制造,丙氨酸；苏氨酸；超滤浓缩,企业,生物过程与规模化,下游分离纯化,生产制造
北京幸福能量健康科技有限公司,中国,北京市,2022,2022,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,柠檬酸；苹果酸,企业,产品与应用,氨基酸与有机酸发酵产品,应用产品
北京康乐卫士生物技术股份有限公司,中国,北京市,2022,2023,5,16,3.2,4,24,4.8,3.2,4,产品与应用；代谢工程与细胞工厂,表达系统；高值活性分子,应用产品；技术平台,核苷酸；精氨酸；苏氨酸；诱导表达,企业,代谢工程与细胞工厂,表达系统,技术平台
北京康缘益生生物科技有限公司,中国,北京市,2021,2021,1,4,4.0,4,8,8.0,4.0,4,生物过程与规模化,发酵工程,生产制造,代谢工程；生物发酵,企业,生物过程与规模化,发酵工程,生产制造
北京康美禾源健康科技有限公司,中国,北京,2025,2025,1,2,2.0,2,2,2.0,2.0,2,产品与应用,平台化合物,应用产品,琥珀酸,企业,产品与应用,平台化合物,应用产品
北京建工环境修复股份有限公司,中国,北京,2024,2024,2,6,3.0,4,10,5.0,3.0,4,产品与应用；计算设计与AI,多组学与系统建模；高值活性分子,应用产品；底层工具,基因测序；核苷酸；系统生物学,"企业；企业,学校",产品与应用,高值活性分子,应用产品
北京建工环境修复股份有限公司,中国,北京市,2022,2023,2,4,2.0,2,7,3.5,2.0,2,产品与应用,平台化合物；高值活性分子,应用产品,丙酸；核苷酸；琥珀酸；聚乳酸；谷氨酸,"企业；企业,学校",产品与应用,平台化合物,应用产品
北京强新生物科技有限公司,中国,北京市,2022,2022,1,5,5.0,5,6,6.0,5.0,5,生物制造基础,合成生物学,技术平台,单克隆抗体；合成生物学,企业,生物制造基础,合成生物学,技术平台
北京微构工场生物技术有限公司,中国,北京,2024,2025,2,6,3.0,4,8,4.0,3.0,4,产品与应用；生物过程与规模化,发酵工程；高值活性分子,应用产品；生产制造,PHA；发酵生产；核苷酸,企业,产品与应用,高值活性分子,应用产品
北京微构工场生物技术有限公司,中国,北京市,2021,2023,3,10,3.3333333333333335,4,14,4.666666666666667,3.3333333333333335,4,产品与应用；生物过程与规模化,发酵工程；可降解聚合物；连续制造与过程强化,应用产品；生产制造,PHA；四氢嘧啶；生物发酵；聚羟基脂肪酸酯；连续发酵；连续培养,企业,生物过程与规模化,连续制造与过程强化,生产制造
北京态创生物科技有限公司,中国,北京市,2022,2022,1,4,4.0,4,8,8.0,4.0,4,测试筛选与自动化,高通量构建与筛选,底层工具,液滴微流控；高通量筛选,企业,测试筛选与自动化,高通量构建与筛选,底层工具
北京恒诺信达生物技术有限公司,中国,北京市,2023,2023,2,6,3.0,3,6,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,发酵罐,企业,生物过程与规模化,生物反应器,生产制造
北京恩吉赛生物科技有限公司,中国,北京,2024,2024,3,15,5.0,5,15,5.0,5.0,5,代谢工程与细胞工厂,细胞工厂,技术平台,细胞工厂,企业,代谢工程与细胞工厂,细胞工厂,技术平台
北京惠之衡生物科技有限公司,中国,北京,2024,2024,3,7,2.3333333333333335,3,9,3.0,2.3333333333333335,3,产品与应用；生物过程与规模化,下游分离纯化；氨基酸与有机酸发酵产品,应用产品；生产制造,层析纯化；戊二酸；赖氨酸,企业,生物过程与规模化,下游分离纯化,生产制造
北京惠之衡生物科技有限公司,中国,北京市,2022,2023,8,24,3.0,4,40,5.0,3.0,4,产品与应用；代谢工程与细胞工厂；生物过程与规模化；酶与蛋白质工程,发酵工程；氨基酸与有机酸发酵产品；表达系统；过程控制与优化；酶工程；高值活性分子,应用产品；技术平台；生产制造,发酵工程；发酵生产；发酵罐；发酵过程控制；柠檬酸；核苷酸；生物发酵；精氨酸；诱导表达；酶工程,企业,生物过程与规模化,发酵工程,生产制造
北京拓为生物科技有限公司,中国,北京,2024,2024,1,4,4.0,4,4,4.0,4.0,4,酶与蛋白质工程,生物催化,生产制造,生物转化,企业,酶与蛋白质工程,生物催化,生产制造
北京拓普莱博油气田开发技术研究院,中国,北京市,2023,2023,1,4,4.0,4,4,4.0,4.0,4,生物过程与规模化,发酵工程,生产制造,固态发酵,企业,生物过程与规模化,发酵工程,生产制造
北京挑战农业科技有限公司,中国,北京,2024,2024,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,丙酸,企业,产品与应用,氨基酸与有机酸发酵产品,应用产品
北京挑战农业科技有限公司,中国,北京市,2022,2023,4,10,2.5,4,10,2.5,2.5,4,产品与应用；生物过程与规模化,发酵工程；氨基酸与有机酸发酵产品,应用产品；生产制造,发酵生产；固态发酵；蛋氨酸；谷氨酸；赖氨酸,企业,产品与应用,氨基酸与有机酸发酵产品,应用产品
北京挑战生物技术有限公司,中国,北京,2024,2024,1,4,4.0,4,4,4.0,4.0,4,代谢工程与细胞工厂,表达系统,技术平台,分泌表达,企业,代谢工程与细胞工厂,表达系统,技术平台
北京挑战生物技术有限公司,中国,北京市,2023,2023,2,3,1.5,2,4,2.0,1.5,2,产品与应用,氨基酸与有机酸发酵产品；高值活性分子,应用产品,丙酸；核苷酸,企业,产品与应用,高值活性分子,应用产品
北京擎科生物科技有限公司,中国,北京市,2021,2023,7,28,4.0,4,43,6.142857142857143,4.0,4,DNA/RNA读写编辑,基因合成,底层工具,DNA合成；DNA合成仪,企业,DNA/RNA读写编辑,基因合成,底层工具
北京擎科生物科技股份有限公司,中国,北京,2024,2025,5,20,4.0,4,26,5.2,4.0,4,DNA/RNA读写编辑,基因合成,底层工具,DNA合成；DNA合成仪；基因合成,"企业；企业,企业",DNA/RNA读写编辑,基因合成,底层工具
北京擎科生物科技股份有限公司,中国,北京市,2023,2023,2,9,4.5,5,17,8.5,4.5,5,DNA/RNA读写编辑；生物制造基础,合成生物学；基因合成,底层工具；技术平台,DNA合成；DNA合成仪；合成生物学；甲硫氨酸,"企业；企业,其他",DNA/RNA读写编辑,基因合成,底层工具
北京新农匠生态科技有限公司,中国,北京市,2021,2021,1,4,4.0,4,4,4.0,4.0,4,生物过程与规模化,发酵工程,生产制造,生物发酵,企业,生物过程与规模化,发酵工程,生产制造
北京新正和农业科技有限公司,中国,北京市,2021,2021,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,下游分离纯化,生产制造,膜过滤,企业,生物过程与规模化,下游分离纯化,生产制造
北京新浠芮生物技术有限公司,中国,北京市,2023,2023,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,柠檬酸,企业,产品与应用,氨基酸与有机酸发酵产品,应用产品
北京方诣生物医药有限公司,中国,北京,2025,2025,1,1,1.0,1,1,1.0,1.0,1,产品与应用,重组药物与生物活性原料,应用产品,透明质酸,企业,产品与应用,重组药物与生物活性原料,应用产品
北京时代桃源环境科技股份有限公司,中国,北京,2025,2025,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,发酵罐,企业,生物过程与规模化,生物反应器,生产制造
北京时远科技有限公司,中国,北京,2025,2025,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,生物反应器；膜生物反应器,企业,生物过程与规模化,生物反应器,生产制造
北京昊圆华美科技有限公司,中国,北京市,2022,2022,2,2,1.0,1,3,1.5,1.0,1,产品与应用,重组药物与生物活性原料,应用产品,精氨酸；赖氨酸；透明质酸,企业,产品与应用,重组药物与生物活性原料,应用产品
北京昌平实验室,中国,北京,2025,2025,1,4,4.0,4,4,4.0,4.0,4,DNA/RNA读写编辑,基因与基因组编辑,底层工具,基因编辑,科研单位,DNA/RNA读写编辑,基因与基因组编辑,底层工具
北京明日达科技发展有限责任公司,中国,北京,2025,2025,1,3,3.0,3,5,5.0,3.0,3,生物过程与规模化,下游分离纯化,生产制造,分离纯化；核苷酸,"企业,学校",生物过程与规模化,下游分离纯化,生产制造
北京易兴元石化科技有限公司,中国,北京,2025,2025,1,4,4.0,4,4,4.0,4.0,4,底盘细胞与菌株工程,菌种选育与诱变,技术平台,ARTP,"企业,学校",底盘细胞与菌株工程,菌种选育与诱变,技术平台
北京易醒生物科技有限公司,中国,北京市,2023,2023,1,2,2.0,2,2,2.0,2.0,2,产品与应用,高值活性分子,应用产品,核苷酸,企业,产品与应用,高值活性分子,应用产品
北京昕大洋科技发展有限公司,中国,北京,2024,2024,1,4,4.0,4,4,4.0,4.0,4,生物过程与规模化,发酵工程,生产制造,微生物发酵；生物发酵,企业,生物过程与规模化,发酵工程,生产制造
北京星皓互动生物科技有限公司,中国,北京市,2021,2021,1,4,4.0,4,4,4.0,4.0,4,生物过程与规模化,发酵工程,生产制造,微生物发酵；生物发酵,企业,生物过程与规模化,发酵工程,生产制造
北京昱龙盛世生物科技有限公司,中国,北京市,2021,2021,1,1,1.0,1,2,2.0,1.0,1,产品与应用,重组药物与生物活性原料,应用产品,柠檬酸；甲硫氨酸；精氨酸；胶原蛋白；赖氨酸；透明质酸,企业,产品与应用,重组药物与生物活性原料,应用产品
北京晋荣农业科技有限公司,中国,北京市,2023,2023,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,柠檬酸,企业,产品与应用,氨基酸与有机酸发酵产品,应用产品
北京普绿通生物肥料厂,中国,北京市,2021,2021,1,3,3.0,3,4,4.0,3.0,3,生物过程与规模化,生物反应器,生产制造,丙酮酸；发酵罐,企业,生物过程与规模化,生物反应器,生产制造
北京景达生物科技有限公司,中国,北京,2024,2024,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,生物反应器,企业,生物过程与规模化,生物反应器,生产制造
北京智康博药肿瘤医学研究有限公司,中国,北京,2024,2024,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,生物反应器,企业,生物过程与规模化,生物反应器,生产制造
北京智飞绿竹生物制药有限公司,中国,北京,2024,2025,3,11,3.6666666666666665,5,16,5.333333333333333,3.6666666666666665,5,底盘细胞与菌株工程；生物过程与规模化,下游分离纯化；底盘细胞,技术平台；生产制造,层析纯化；底盘菌株；赖氨酸；超滤浓缩；酶催化合成,"企业；企业,企业,企业",生物过程与规模化,下游分离纯化,生产制造
北京智飞绿竹生物制药有限公司,中国,北京市,2022,2023,3,9,3.0,3,12,4.0,3.0,3,生物过程与规模化,下游分离纯化；生物反应器,生产制造,层析纯化；生物反应器；超滤浓缩,企业,生物过程与规模化,下游分离纯化,生产制造
北京最喜科技发展有限公司,中国,北京市,2022,2022,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,赖氨酸,企业,产品与应用,氨基酸与有机酸发酵产品,应用产品
北京最美芳华生物科技有限公司,中国,北京市,2022,2022,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,谷氨酸,企业,产品与应用,氨基酸与有机酸发酵产品,应用产品
北京朗迪制药有限公司,中国,北京市,2023,2023,1,1,1.0,1,2,2.0,1.0,1,产品与应用,重组药物与生物活性原料,应用产品,柠檬酸；胶原蛋白,企业,产品与应用,重组药物与生物活性原料,应用产品
北京朝阳环境集团有限公司,中国,北京,2024,2024,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,发酵罐,企业,生物过程与规模化,生物反应器,生产制造
北京朝阳环境集团有限公司,中国,北京市,2023,2023,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,发酵罐,企业,生物过程与规模化,生物反应器,生产制造
北京本真工坊生物科技有限公司,中国,北京市,2022,2022,1,1,1.0,1,1,1.0,1.0,1,产品与应用,重组药物与生物活性原料,应用产品,透明质酸,企业,产品与应用,重组药物与生物活性原料,应用产品
北京林业大学,中国,北京,2024,2025,21,64,3.0476190476190474,4,78,3.7142857142857144,3.0476190476190474,4,DNA/RNA读写编辑；产品与应用；代谢工程与细胞工厂；原料与低碳路线；底盘细胞与菌株工程；生物元件与线路；生物过程与规模化,下游分离纯化；农业生物制造；合成群落与共培养；基因与基因组编辑；标准化生物元件；生物反应器；表达系统；非粮生物质；高值活性分子,原料层；应用产品；底层工具；技术平台；生产制造,CRISPR；丙氨酸；分离纯化；合成菌群；基因敲除；基因编辑；定点突变；木质纤维素；核糖体结合位点；核苷酸；生物农药；生物反应器；膜分离；膜生物反应器；膜过滤；表达盒,"企业,学校；学校；学校,企业；学校,机关团体；科研单位,学校",生物过程与规模化,高值活性分子,生产制造
北京林业大学,中国,北京市,2021,2023,29,85,2.9310344827586206,4,102,3.5172413793103448,2.9310344827586206,4,DNA/RNA读写编辑；产品与应用；代谢工程与细胞工厂；原料与低碳路线；生物过程与规模化；酶与蛋白质工程,下游分离纯化；农业生物制造；发酵工程；可降解聚合物；基因与基因组编辑；氨基酸与有机酸发酵产品；生物催化；生物反应器；生物炼制；表达系统；重组药物与生物活性原料；非粮生物质；高值活性分子,原料层；应用产品；底层工具；技术平台；生产制造,CRISPR；PHA；丙酸；农林废弃物；发酵生产；发酵罐；基因编辑；定点突变；微生物肥料；木质纤维素；柠檬酸；核苷酸；生物催化；生物反应器；生物质炼制；肌醇；膜分离；膜生物反应器；膜过滤；苹果酸；表达盒；透明质酸,"企业,学校；学校",产品与应用,生物反应器,应用产品
北京果素堂生物科技有限公司,中国,北京市,2021,2021,1,4,4.0,4,10,10.0,4.0,4,生物过程与规模化,发酵工程,生产制造,发酵罐；生物发酵；膜过滤,企业,生物过程与规模化,发酵工程,生产制造
北京棠朵生物科技有限责任公司,中国,北京,2025,2025,2,8,4.0,4,12,6.0,4.0,4,酶与蛋白质工程,蛋白质工程,技术平台,胶原蛋白；蛋白质工程；重组胶原蛋白,企业,酶与蛋白质工程,蛋白质工程,技术平台
北京森妙生物科技有限公司,中国,北京市,2023,2023,1,4,4.0,4,6,6.0,4.0,4,DNA/RNA读写编辑,基因与基因组编辑,底层工具,基因编辑；核苷酸,企业,DNA/RNA读写编辑,基因与基因组编辑,底层工具
北京植物医生生物科技有限公司,中国,北京,2025,2025,1,1,1.0,1,1,1.0,1.0,1,产品与应用,重组药物与生物活性原料,应用产品,胶原蛋白,企业,产品与应用,重组药物与生物活性原料,应用产品
北京植物医生生物科技有限公司,中国,北京市,2023,2023,1,2,2.0,2,3,3.0,2.0,2,产品与应用,高值活性分子,应用产品,透明质酸；麦角硫因,企业,产品与应用,高值活性分子,应用产品
北京欧扬医疗美容门诊部有限公司,中国,北京,2024,2024,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,谷氨酸,企业,产品与应用,氨基酸与有机酸发酵产品,应用产品
北京欧美环境工程有限公司,中国,北京市,2023,2023,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,生物反应器；膜生物反应器,企业,生物过程与规模化,生物反应器,生产制造
北京欧菲堡酒庄有限公司,中国,北京市,2022,2022,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,苹果酸,企业,产品与应用,氨基酸与有机酸发酵产品,应用产品
北京毅新博创生物科技有限公司,中国,北京市,2021,2023,3,7,2.3333333333333335,3,7,2.3333333333333335,2.3333333333333335,3,产品与应用；生物过程与规模化,下游分离纯化；高值活性分子,应用产品；生产制造,分离纯化；核苷酸,企业,产品与应用,高值活性分子,应用产品
北京民海生物科技有限公司,中国,北京,2024,2024,1,4,4.0,4,4,4.0,4.0,4,生物过程与规模化,发酵工程,生产制造,发酵工程,企业,生物过程与规模化,发酵工程,生产制造
北京民海生物科技有限公司,中国,北京市,2022,2023,3,8,2.6666666666666665,4,8,2.6666666666666665,2.6666666666666665,4,产品与应用；代谢工程与细胞工厂；生物过程与规模化,下游分离纯化；氨基酸与有机酸发酵产品；表达系统,应用产品；技术平台；生产制造,分离纯化；诱导表达；谷氨酸,企业,代谢工程与细胞工厂,表达系统,技术平台
