关键词,技术领域,细分方向,产业板块,核心程度得分,匹配类型,上下文要求,来源类型,来源说明,来源链接,报告技术路线
核糖体结合位点,生物元件与线路,标准化生物元件,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
RBS元件,生物元件与线路,标准化生物元件,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
基因线路,生物元件与线路,基因线路,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
合成基因线路,生物元件与线路,基因线路,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
遗传线路,生物元件与线路,基因线路,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
基因回路,生物元件与线路,基因线路,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
生物逻辑门,生物元件与线路,基因线路,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
基因开关,生物元件与线路,基因线路,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
遗传开关,生物元件与线路,基因线路,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
基因振荡器,生物元件与线路,基因线路,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
生物振荡器,生物元件与线路,基因线路,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
动态调控线路,生物元件与线路,基因线路,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
感应调控线路,生物元件与线路,基因线路,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
生物模块,生物元件与线路,模块化装配,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
基因模块,生物元件与线路,模块化装配,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
模块化装配,生物元件与线路,模块化装配,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
标准化装配,生物元件与线路,模块化装配,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
DNA模块组装,生物元件与线路,模块化装配,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
多基因组装,生物元件与线路,模块化装配,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
组合生物合成,生物元件与线路,模块化装配,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
组合式途径构建,生物元件与线路,模块化装配,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
底盘细胞,底盘细胞与菌株工程,底盘细胞,技术平台,5,core,无需上下文,两份报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
工业底盘细胞,底盘细胞与菌株工程,底盘细胞,技术平台,5,core,无需上下文,两份报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
微生物底盘,底盘细胞与菌株工程,底盘细胞,技术平台,5,core,无需上下文,两份报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
底盘菌株,底盘细胞与菌株工程,底盘细胞,技术平台,5,core,无需上下文,两份报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
模式底盘,底盘细胞与菌株工程,底盘细胞,技术平台,5,core,无需上下文,两份报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
通用底盘细胞,底盘细胞与菌株工程,底盘细胞,技术平台,5,core,无需上下文,两份报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
非模式底盘,底盘细胞与菌株工程,底盘细胞,技术平台,5,core,无需上下文,两份报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
最小细胞,底盘细胞与菌株工程,底盘细胞,技术平台,5,core,无需上下文,两份报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
人工合成细胞,底盘细胞与菌株工程,底盘细胞,技术平台,5,core,无需上下文,两份报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
合成细胞,底盘细胞与菌株工程,底盘细胞,技术平台,5,core,无需上下文,两份报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
工业菌种创制,底盘细胞与菌株工程,工业菌种创制,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/kxyj/lyfx/202410/t20241031_7412324.html,细胞工厂与菌株工程
工业菌株创制,底盘细胞与菌株工程,工业菌种创制,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/kxyj/lyfx/202410/t20241031_7412324.html,细胞工厂与菌株工程
工程菌株构建,底盘细胞与菌株工程,工业菌种创制,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/kxyj/lyfx/202410/t20241031_7412324.html,细胞工厂与菌株工程
工程菌构建,底盘细胞与菌株工程,工业菌种创制,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/kxyj/lyfx/202410/t20241031_7412324.html,细胞工厂与菌株工程
重组菌构建,底盘细胞与菌株工程,工业菌种创制,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/kxyj/lyfx/202410/t20241031_7412324.html,细胞工厂与菌株工程
生产菌株构建,底盘细胞与菌株工程,工业菌种创制,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/kxyj/lyfx/202410/t20241031_7412324.html,细胞工厂与菌株工程
高产菌株,底盘细胞与菌株工程,工业菌种创制,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/kxyj/lyfx/202410/t20241031_7412324.html,细胞工厂与菌株工程
高效生产菌株,底盘细胞与菌株工程,工业菌种创制,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/kxyj/lyfx/202410/t20241031_7412324.html,细胞工厂与菌株工程
细胞工厂菌株,底盘细胞与菌株工程,工业菌种创制,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/kxyj/lyfx/202410/t20241031_7412324.html,细胞工厂与菌株工程
定制菌种,底盘细胞与菌株工程,工业菌种创制,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/kxyj/lyfx/202410/t20241031_7412324.html,细胞工厂与菌株工程
菌种设计定制,底盘细胞与菌株工程,工业菌种创制,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/kxyj/lyfx/202410/t20241031_7412324.html,细胞工厂与菌株工程
菌种选育,底盘细胞与菌株工程,菌种选育与诱变,技术平台,4,contextual,需生物工程与生产制造上下文,工业生物技术/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
菌株选育,底盘细胞与菌株工程,菌种选育与诱变,技术平台,4,contextual,需生物工程与生产制造上下文,工业生物技术/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
微生物育种,底盘细胞与菌株工程,菌种选育与诱变,技术平台,4,contextual,需生物工程与生产制造上下文,工业生物技术/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
诱变育种,底盘细胞与菌株工程,菌种选育与诱变,技术平台,4,contextual,需生物工程与生产制造上下文,工业生物技术/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
复合诱变,底盘细胞与菌株工程,菌种选育与诱变,技术平台,4,contextual,需生物工程与生产制造上下文,工业生物技术/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
ARTP,底盘细胞与菌株工程,菌种选育与诱变,技术平台,4,contextual,需生物工程与生产制造上下文,工业生物技术/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
常压室温等离子体诱变,底盘细胞与菌株工程,菌种选育与诱变,技术平台,4,contextual,需生物工程与生产制造上下文,工业生物技术/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
基因组改组,底盘细胞与菌株工程,菌种选育与诱变,技术平台,4,contextual,需生物工程与生产制造上下文,工业生物技术/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
核糖体工程,底盘细胞与菌株工程,菌种选育与诱变,技术平台,4,contextual,需生物工程与生产制造上下文,工业生物技术/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
全基因组诱变,底盘细胞与菌株工程,菌种选育与诱变,技术平台,4,contextual,需生物工程与生产制造上下文,工业生物技术/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
大肠杆菌底盘,底盘细胞与菌株工程,底盘物种,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
酿酒酵母底盘,底盘细胞与菌株工程,底盘物种,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
毕赤酵母底盘,底盘细胞与菌株工程,底盘物种,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
枯草芽孢杆菌底盘,底盘细胞与菌株工程,底盘物种,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
谷氨酸棒状杆菌底盘,底盘细胞与菌株工程,底盘物种,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
链霉菌底盘,底盘细胞与菌株工程,底盘物种,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
黑曲霉底盘,底盘细胞与菌株工程,底盘物种,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
米曲霉底盘,底盘细胞与菌株工程,底盘物种,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
微藻底盘,底盘细胞与菌株工程,底盘物种,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
光合细胞工厂,底盘细胞与菌株工程,底盘物种,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
基因组精简,底盘细胞与菌株工程,基因组精简与细胞优化,技术平台,4,contextual,需生物工程与生产制造上下文,科研论文/中科院补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
基因组简化,底盘细胞与菌株工程,基因组精简与细胞优化,技术平台,4,contextual,需生物工程与生产制造上下文,科研论文/中科院补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
最小基因组,底盘细胞与菌株工程,基因组精简与细胞优化,技术平台,4,contextual,需生物工程与生产制造上下文,科研论文/中科院补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
非必需基因删除,底盘细胞与菌株工程,基因组精简与细胞优化,技术平台,4,contextual,需生物工程与生产制造上下文,科研论文/中科院补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
底盘细胞优化,底盘细胞与菌株工程,基因组精简与细胞优化,技术平台,4,contextual,需生物工程与生产制造上下文,科研论文/中科院补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
底盘优化,底盘细胞与菌株工程,基因组精简与细胞优化,技术平台,4,contextual,需生物工程与生产制造上下文,科研论文/中科院补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
宿主细胞优化,底盘细胞与菌株工程,基因组精简与细胞优化,技术平台,4,contextual,需生物工程与生产制造上下文,科研论文/中科院补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
细胞资源重分配,底盘细胞与菌株工程,基因组精简与细胞优化,技术平台,4,contextual,需生物工程与生产制造上下文,科研论文/中科院补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
前体供给强化,底盘细胞与菌株工程,基因组精简与细胞优化,技术平台,4,contextual,需生物工程与生产制造上下文,科研论文/中科院补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
辅因子工程,底盘细胞与菌株工程,基因组精简与细胞优化,技术平台,4,contextual,需生物工程与生产制造上下文,科研论文/中科院补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
菌株耐受性,底盘细胞与菌株工程,耐受与适应性进化,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
产物耐受性,底盘细胞与菌株工程,耐受与适应性进化,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
底物耐受性,底盘细胞与菌株工程,耐受与适应性进化,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
毒性耐受,底盘细胞与菌株工程,耐受与适应性进化,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
耐高温菌株,底盘细胞与菌株工程,耐受与适应性进化,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
耐酸菌株,底盘细胞与菌株工程,耐受与适应性进化,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
耐溶剂菌株,底盘细胞与菌株工程,耐受与适应性进化,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
适应性实验室进化,底盘细胞与菌株工程,耐受与适应性进化,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
适应性进化,底盘细胞与菌株工程,耐受与适应性进化,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
ALE育种,底盘细胞与菌株工程,耐受与适应性进化,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
代谢负担优化,底盘细胞与菌株工程,耐受与适应性进化,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
合成微生物群落,底盘细胞与菌株工程,合成群落与共培养,技术平台,4,contextual,需生物工程与生产制造上下文,SETR/科研机构补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
人工微生物群落,底盘细胞与菌株工程,合成群落与共培养,技术平台,4,contextual,需生物工程与生产制造上下文,SETR/科研机构补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
微生物群落工程,底盘细胞与菌株工程,合成群落与共培养,技术平台,4,contextual,需生物工程与生产制造上下文,SETR/科研机构补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
微生物共培养,底盘细胞与菌株工程,合成群落与共培养,技术平台,4,contextual,需生物工程与生产制造上下文,SETR/科研机构补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
多菌种共培养,底盘细胞与菌株工程,合成群落与共培养,技术平台,4,contextual,需生物工程与生产制造上下文,SETR/科研机构补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
合成菌群,底盘细胞与菌株工程,合成群落与共培养,技术平台,4,contextual,需生物工程与生产制造上下文,SETR/科研机构补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
微生物联合体,底盘细胞与菌株工程,合成群落与共培养,技术平台,4,contextual,需生物工程与生产制造上下文,SETR/科研机构补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
分工代谢,底盘细胞与菌株工程,合成群落与共培养,技术平台,4,contextual,需生物工程与生产制造上下文,SETR/科研机构补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
群落代谢工程,底盘细胞与菌株工程,合成群落与共培养,技术平台,4,contextual,需生物工程与生产制造上下文,SETR/科研机构补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
细胞工厂,代谢工程与细胞工厂,细胞工厂,技术平台,5,core,无需上下文,两份报告/中科院直接词,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
微生物细胞工厂,代谢工程与细胞工厂,细胞工厂,技术平台,5,core,无需上下文,两份报告/中科院直接词,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
工程细胞工厂,代谢工程与细胞工厂,细胞工厂,技术平台,5,core,无需上下文,两份报告/中科院直接词,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
人造细胞工厂,代谢工程与细胞工厂,细胞工厂,技术平台,5,core,无需上下文,两份报告/中科院直接词,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
高效细胞工厂,代谢工程与细胞工厂,细胞工厂,技术平台,5,core,无需上下文,两份报告/中科院直接词,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
全细胞催化工厂,代谢工程与细胞工厂,细胞工厂,技术平台,5,core,无需上下文,两份报告/中科院直接词,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
细胞工厂构建,代谢工程与细胞工厂,细胞工厂,技术平台,5,core,无需上下文,两份报告/中科院直接词,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
细胞工厂优化,代谢工程与细胞工厂,细胞工厂,技术平台,5,core,无需上下文,两份报告/中科院直接词,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
代谢工程,代谢工程与细胞工厂,代谢工程,技术平台,4,contextual,需生物工程与生产制造上下文,两份报告/中科院补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
代谢途径工程,代谢工程与细胞工厂,代谢工程,技术平台,4,contextual,需生物工程与生产制造上下文,两份报告/中科院补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
代谢通路改造,代谢工程与细胞工厂,代谢工程,技术平台,4,contextual,需生物工程与生产制造上下文,两份报告/中科院补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
代谢通路重构,代谢工程与细胞工厂,代谢工程,技术平台,4,contextual,需生物工程与生产制造上下文,两份报告/中科院补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
合成代谢途径,代谢工程与细胞工厂,代谢工程,技术平台,4,contextual,需生物工程与生产制造上下文,两份报告/中科院补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
异源代谢途径,代谢工程与细胞工厂,代谢工程,技术平台,4,contextual,需生物工程与生产制造上下文,两份报告/中科院补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
生物合成途径,代谢工程与细胞工厂,代谢工程,技术平台,4,contextual,需生物工程与生产制造上下文,两份报告/中科院补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
代谢途径优化,代谢工程与细胞工厂,代谢工程,技术平台,4,contextual,需生物工程与生产制造上下文,两份报告/中科院补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
途径组装,代谢工程与细胞工厂,代谢工程,技术平台,4,contextual,需生物工程与生产制造上下文,两份报告/中科院补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
途径平衡,代谢工程与细胞工厂,代谢工程,技术平台,4,contextual,需生物工程与生产制造上下文,两份报告/中科院补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
代谢流分析,代谢工程与细胞工厂,代谢流与动态调控,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
代谢通量分析,代谢工程与细胞工厂,代谢流与动态调控,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
代谢流重定向,代谢工程与细胞工厂,代谢流与动态调控,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
碳流重定向,代谢工程与细胞工厂,代谢流与动态调控,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
动态代谢调控,代谢工程与细胞工厂,代谢流与动态调控,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
静态代谢调控,代谢工程与细胞工厂,代谢流与动态调控,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
反馈抑制解除,代谢工程与细胞工厂,代谢流与动态调控,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
旁路代谢敲除,代谢工程与细胞工厂,代谢流与动态调控,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
竞争途径敲除,代谢工程与细胞工厂,代谢流与动态调控,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
产物通路强化,代谢工程与细胞工厂,代谢流与动态调控,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
高效表达系统,代谢工程与细胞工厂,表达系统,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
异源表达系统,代谢工程与细胞工厂,表达系统,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
重组表达系统,代谢工程与细胞工厂,表达系统,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
蛋白高效表达,代谢工程与细胞工厂,表达系统,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
异源蛋白表达,代谢工程与细胞工厂,表达系统,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
分泌表达,代谢工程与细胞工厂,表达系统,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
组成型表达,代谢工程与细胞工厂,表达系统,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
诱导表达,代谢工程与细胞工厂,表达系统,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
无诱导表达,代谢工程与细胞工厂,表达系统,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
表达宿主,代谢工程与细胞工厂,表达系统,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
表达盒,代谢工程与细胞工厂,表达系统,技术平台,4,contextual,需生物工程与生产制造上下文,中科院/资本研报补充,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
转运蛋白工程,代谢工程与细胞工厂,运输与分泌工程,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
膜转运工程,代谢工程与细胞工厂,运输与分泌工程,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
产物外排,代谢工程与细胞工厂,运输与分泌工程,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
产物分泌,代谢工程与细胞工厂,运输与分泌工程,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
分泌途径优化,代谢工程与细胞工厂,运输与分泌工程,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
信号肽优化,代谢工程与细胞工厂,运输与分泌工程,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
跨膜转运,代谢工程与细胞工厂,运输与分泌工程,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
底物摄取强化,代谢工程与细胞工厂,运输与分泌工程,技术平台,4,contextual,需生物工程与生产制造上下文,科研机构/支持扩展,用户提供的两份生物制造相关报告,,细胞工厂与菌株工程
酶工程,酶与蛋白质工程,酶工程,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
工业酶工程,酶与蛋白质工程,酶工程,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
酶分子改造,酶与蛋白质工程,酶工程,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
酶定向改造,酶与蛋白质工程,酶工程,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
酶活性改造,酶与蛋白质工程,酶工程,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
酶稳定性改造,酶与蛋白质工程,酶工程,技术平台,4,contextual,需生物工程与生产制造上下文,2024报告/中科院/资本研报补充,用户提供的两份生物制造相关报告,,酶与蛋白质工程
