关键词,技术领域,细分方向,产业板块,核心程度得分,匹配类型,上下文要求,来源类型,来源说明,来源链接,说明
拓扑地图,模型与算法,空间推理,技术服务,4,contextual,需机器人/物理本体上下文,公开科研/资本研报补充,中国人工智能学会2026具身智能十五大方向；华源证券VLA与世界模型报告,https://www.caai.cn/site/content/7747.html,
群体具身智能,模型与算法,群体具身智能,技术服务,4,core,无需上下文,公开科研白皮书补充,中国人工智能学会2026具身智能十五大方向,https://www.caai.cn/site/content/7747.html,
具身群体智能,模型与算法,群体具身智能,技术服务,4,core,无需上下文,公开科研白皮书补充,中国人工智能学会2026具身智能十五大方向,https://www.caai.cn/site/content/7747.html,
具身集群智能,模型与算法,群体具身智能,技术服务,4,core,无需上下文,公开科研白皮书补充,中国人工智能学会2026具身智能十五大方向,https://www.caai.cn/site/content/7747.html,
自主导航,模型与算法,自主任务能力,技术服务,4,contextual,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
自主定位,模型与算法,自主任务能力,技术服务,4,contextual,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
自主避障,模型与算法,自主任务能力,技术服务,4,contextual,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
自主决策,模型与算法,自主任务能力,技术服务,4,contextual,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
自主作业,模型与算法,自主任务能力,技术服务,4,contextual,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
自主控制,模型与算法,自主任务能力,技术服务,4,contextual,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
自主航行,模型与算法,自主任务能力,技术服务,4,contextual,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
路径规划,模型与算法,自主任务能力,技术服务,4,contextual,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
任务分配,模型与算法,自主任务能力,技术服务,4,contextual,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
多机协同,模型与算法,自主任务能力,技术服务,4,contextual,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
多智能体协同,模型与算法,自主任务能力,技术服务,4,contextual,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
抓取规划,模型与算法,自主任务能力,技术服务,4,contextual,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
操作规划,模型与算法,自主任务能力,技术服务,4,contextual,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
长程任务,模型与算法,自主任务能力,技术服务,4,contextual,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
泛化能力,模型与算法,自主任务能力,技术服务,4,contextual,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
跨场景泛化,模型与算法,自主任务能力,技术服务,4,contextual,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
跨任务泛化,模型与算法,自主任务能力,技术服务,4,contextual,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
具身智能数据,数据与训练,具身数据,技术服务,4,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
具身数据,数据与训练,具身数据,技术服务,4,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
机器人操作数据,数据与训练,具身数据,技术服务,4,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
机器人行为数据,数据与训练,具身数据,技术服务,4,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
真实行为互动数据,数据与训练,具身数据,技术服务,4,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
本体轨迹,数据与训练,具身数据,技术服务,4,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
动作轨迹,数据与训练,具身数据,技术服务,4,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
动作视频,数据与训练,具身数据,技术服务,4,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
互联网多模态数据,数据与训练,具身数据,技术服务,4,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
仿真合成数据,数据与训练,仿真合成数据,技术服务,3,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
合成数据管线,数据与训练,仿真合成数据,技术服务,3,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
物理模拟引擎,数据与训练,仿真合成数据,技术服务,3,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
物理仿真引擎,数据与训练,仿真合成数据,技术服务,3,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
仿真平台,数据与训练,仿真合成数据,技术服务,3,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
仿真环境,数据与训练,仿真合成数据,技术服务,3,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
3D物体资产,数据与训练,仿真合成数据,技术服务,3,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
3D场景,数据与训练,仿真合成数据,技术服务,3,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
生成式模型合成,数据与训练,仿真合成数据,技术服务,3,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
仿真数据生成,数据与训练,仿真合成数据,技术服务,3,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
具身仿真引擎,数据与训练,具身仿真引擎,技术服务,4,core,无需上下文,公开科研白皮书补充,中国人工智能学会2026具身智能十五大方向,https://www.caai.cn/site/content/7747.html,
具身智能仿真引擎,数据与训练,具身仿真引擎,技术服务,4,core,无需上下文,公开科研白皮书补充,中国人工智能学会2026具身智能十五大方向,https://www.caai.cn/site/content/7747.html,
机器人仿真引擎,数据与训练,具身仿真引擎,技术服务,4,core,无需上下文,公开科研白皮书补充,中国人工智能学会2026具身智能十五大方向,https://www.caai.cn/site/content/7747.html,
真机数据,数据与训练,真实数据采集,技术服务,4,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
真实数据采集,数据与训练,真实数据采集,技术服务,4,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
遥操作数据采集,数据与训练,真实数据采集,技术服务,4,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
开放环境采集,数据与训练,真实数据采集,技术服务,4,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
动作捕捉,数据与训练,真实数据采集,技术服务,4,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
光学捕捉,数据与训练,真实数据采集,技术服务,4,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
惯性捕捉,数据与训练,真实数据采集,技术服务,4,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
专家示教,数据与训练,真实数据采集,技术服务,4,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
手把手教学,数据与训练,真实数据采集,技术服务,4,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
VR遥操,数据与训练,真实数据采集,技术服务,4,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
同构遥操,数据与训练,真实数据采集,技术服务,4,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
外骨骼采集,数据与训练,真实数据采集,技术服务,4,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
动捕服,数据与训练,真实数据采集,技术服务,4,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
手持操纵杆,数据与训练,真实数据采集,技术服务,4,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
仿真到真实,数据与训练,迁移与训练策略,技术服务,3,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
真实到仿真,数据与训练,迁移与训练策略,技术服务,3,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
真机后训练,数据与训练,迁移与训练策略,技术服务,3,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
仿真预训练,数据与训练,迁移与训练策略,技术服务,3,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
预训练,数据与训练,迁移与训练策略,技术服务,3,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
后训练,数据与训练,迁移与训练策略,技术服务,3,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
Sim2Real,数据与训练,迁移与训练策略,技术服务,3,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
数字孪生训练,数据与训练,迁移与训练策略,技术服务,3,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
域随机化,数据与训练,迁移与训练策略,技术服务,3,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
策略迁移,数据与训练,迁移与训练策略,技术服务,3,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
数据回流,数据与训练,迁移与训练策略,技术服务,3,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
具身智能训练场,数据与训练,训练基础设施,技术服务,3,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
机器人训练场,数据与训练,训练基础设施,技术服务,3,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
数据训练中心,数据与训练,训练基础设施,技术服务,3,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
数据采集工厂,数据与训练,训练基础设施,技术服务,3,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
超级数据工厂,数据与训练,训练基础设施,技术服务,3,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
异构机器人训练,数据与训练,训练基础设施,技术服务,3,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
异构群智,数据与训练,训练基础设施,技术服务,3,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
数据集构建,数据与训练,训练基础设施,技术服务,3,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
数据标注,数据与训练,训练基础设施,技术服务,3,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
数据质量评估,数据与训练,训练基础设施,技术服务,3,data,需机器人/物理本体上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
具身数据飞轮,数据与训练,数据飞轮,技术服务,4,data,需机器人/物理本体上下文,公开资本研报补充,东吴证券《机器人大模型深度报告》,https://pdf.dfcfw.com/pdf/H3_AP202508091724252221_1.pdf,
机器人数据飞轮,数据与训练,数据飞轮,技术服务,4,data,需机器人/物理本体上下文,公开资本研报补充,东吴证券《机器人大模型深度报告》,https://pdf.dfcfw.com/pdf/H3_AP202508091724252221_1.pdf,
数据飞轮,数据与训练,数据飞轮,技术服务,4,data,需机器人/物理本体上下文,公开资本研报补充,东吴证券《机器人大模型深度报告》,https://pdf.dfcfw.com/pdf/H3_AP202508091724252221_1.pdf,
任务反馈数据,数据与训练,数据飞轮,技术服务,4,data,需机器人/物理本体上下文,公开资本研报补充,东吴证券《机器人大模型深度报告》,https://pdf.dfcfw.com/pdf/H3_AP202508091724252221_1.pdf,
失败案例回流,数据与训练,数据飞轮,技术服务,4,data,需机器人/物理本体上下文,公开资本研报补充,东吴证券《机器人大模型深度报告》,https://pdf.dfcfw.com/pdf/H3_AP202508091724252221_1.pdf,
模型迭代闭环,数据与训练,数据飞轮,技术服务,4,data,需机器人/物理本体上下文,公开资本研报补充,东吴证券《机器人大模型深度报告》,https://pdf.dfcfw.com/pdf/H3_AP202508091724252221_1.pdf,
人形机器人,本体与产品,人形机器人,产品服务,4,carrier,无需上下文,两报告直接词,用户提供的两份具身智能报告,,
双足人形机器人,本体与产品,人形机器人,产品服务,4,carrier,无需上下文,两报告直接词,用户提供的两份具身智能报告,,
轮式人形机器人,本体与产品,人形机器人,产品服务,4,carrier,无需上下文,两报告直接词,用户提供的两份具身智能报告,,
双足机器人,本体与产品,人形机器人,产品服务,4,carrier,无需上下文,两报告直接词,用户提供的两份具身智能报告,,
仿人机器人,本体与产品,人形机器人,产品服务,4,carrier,无需上下文,两报告直接词,用户提供的两份具身智能报告,,
人形本体,本体与产品,人形机器人,产品服务,4,carrier,无需上下文,两报告直接词,用户提供的两份具身智能报告,,
轮臂机器人,本体与产品,轮臂与移动操作,产品服务,4,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
轮臂式机器人,本体与产品,轮臂与移动操作,产品服务,4,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
复合轮臂机器人,本体与产品,轮臂与移动操作,产品服务,4,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
复合轮臂式机器人,本体与产品,轮臂与移动操作,产品服务,4,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
轮式机器人+机械臂,本体与产品,轮臂与移动操作,产品服务,4,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
移动操作机器人,本体与产品,轮臂与移动操作,产品服务,4,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
移动机械臂,本体与产品,轮臂与移动操作,产品服务,4,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
四足机器人,本体与产品,足式机器人,产品服务,4,carrier,无需上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
四足机器狗,本体与产品,足式机器人,产品服务,4,carrier,无需上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
机器狗,本体与产品,足式机器人,产品服务,4,carrier,无需上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
多足机器人,本体与产品,足式机器人,产品服务,4,carrier,无需上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
六足机器人,本体与产品,足式机器人,产品服务,4,carrier,无需上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
轮足机器人,本体与产品,足式机器人,产品服务,4,carrier,无需上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
轮足机器狗,本体与产品,足式机器人,产品服务,4,carrier,无需上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
足式机器人,本体与产品,足式机器人,产品服务,4,carrier,无需上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
轮足复合机器人,本体与产品,足式机器人,产品服务,4,carrier,无需上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
协作机器人,本体与产品,机械臂与协作机器人,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
协作机械臂,本体与产品,机械臂与协作机器人,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
智能机械臂,本体与产品,机械臂与协作机器人,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
双臂机器人,本体与产品,机械臂与协作机器人,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
双臂操作平台,本体与产品,机械臂与协作机器人,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
柔性机器人,本体与产品,机械臂与协作机器人,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
自主移动机器人,本体与产品,自主移动机器人,产品服务,3,carrier,无需上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
AMR,本体与产品,自主移动机器人,产品服务,3,carrier,无需上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
自主移动小车,本体与产品,自主移动机器人,产品服务,3,carrier,无需上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
无人配送车,本体与产品,自主移动机器人,产品服务,3,carrier,无需上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
无人环卫车,本体与产品,自主移动机器人,产品服务,3,carrier,无需上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
无人公交,本体与产品,自主移动机器人,产品服务,3,carrier,无需上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
飞行机器人,本体与产品,自主移动机器人,产品服务,3,carrier,无需上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
仿生机器人,本体与产品,仿生与特种机器人,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
软体机器人,本体与产品,仿生与特种机器人,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
蛇形机器人,本体与产品,仿生与特种机器人,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
仿生机器狗,本体与产品,仿生与特种机器人,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
水下机器人,本体与产品,仿生与特种机器人,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
巡检机器人,本体与产品,仿生与特种机器人,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
搜救机器人,本体与产品,仿生与特种机器人,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
防爆机器人,本体与产品,仿生与特种机器人,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
特种机器人,本体与产品,仿生与特种机器人,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
微型机器人集群,本体与产品,微型与集群机器人,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
集群式微型智能机器人,本体与产品,微型与集群机器人,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
微型智能机器人,本体与产品,微型与集群机器人,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
机器人集群,本体与产品,微型与集群机器人,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
群体机器人,本体与产品,微型与集群机器人,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
自动驾驶汽车,本体与产品,智能运载装备,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,报告列为具身智能载体，但与既有产业交叉，得分低于核心模型词
无人驾驶汽车,本体与产品,智能运载装备,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,报告列为具身智能载体，但与既有产业交叉，得分低于核心模型词
自动驾驶车辆,本体与产品,智能运载装备,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,报告列为具身智能载体，但与既有产业交叉，得分低于核心模型词
无人驾驶小车,本体与产品,智能运载装备,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,报告列为具身智能载体，但与既有产业交叉，得分低于核心模型词
Robotaxi,本体与产品,智能运载装备,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,报告列为具身智能载体，但与既有产业交叉，得分低于核心模型词
无人驾驶航空器,本体与产品,智能运载装备,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,报告列为具身智能载体，但与既有产业交叉，得分低于核心模型词
eVTOL,本体与产品,智能运载装备,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,报告列为具身智能载体，但与既有产业交叉，得分低于核心模型词
无人船,本体与产品,智能运载装备,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,报告列为具身智能载体，但与既有产业交叉，得分低于核心模型词
自主航行船,本体与产品,智能运载装备,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,报告列为具身智能载体，但与既有产业交叉，得分低于核心模型词
无人机,本体与产品,广义运载载体,产品服务,2,contextual,intelligence,报告直接词,用户提供的两份具身智能报告,,需同时出现自主感知、决策、导航、学习等智能上下文
多旋翼飞行器,本体与产品,广义运载载体,产品服务,2,contextual,intelligence,报告直接词,用户提供的两份具身智能报告,,需同时出现自主感知、决策、导航、学习等智能上下文
无人车,本体与产品,广义运载载体,产品服务,2,contextual,intelligence,报告直接词,用户提供的两份具身智能报告,,需同时出现自主感知、决策、导航、学习等智能上下文
变形移动装置,本体与产品,新型智能产品,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
自适应变形装置,本体与产品,新型智能产品,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
智能可穿戴设备,本体与产品,新型智能产品,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
智能外骨骼,本体与产品,新型智能产品,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
外骨骼机器人,本体与产品,新型智能产品,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
上肢外骨骼,本体与产品,新型智能产品,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
下肢外骨骼,本体与产品,新型智能产品,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
全身外骨骼,本体与产品,新型智能产品,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
康复外骨骼,本体与产品,新型智能产品,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
增强外骨骼,本体与产品,新型智能产品,产品服务,3,carrier,无需上下文,报告直接词/支持扩展,用户提供的两份具身智能报告,,
灵巧手,核心部件与本体,灵巧手与末端执行,基础设施,4,carrier,无需上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
仿生灵巧手,核心部件与本体,灵巧手与末端执行,基础设施,4,carrier,无需上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
视触觉灵巧手,核心部件与本体,灵巧手与末端执行,基础设施,4,carrier,无需上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
多指灵巧手,核心部件与本体,灵巧手与末端执行,基础设施,4,carrier,无需上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
末端执行器,核心部件与本体,灵巧手与末端执行,基础设施,4,carrier,无需上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
机器人夹爪,核心部件与本体,灵巧手与末端执行,基础设施,4,carrier,无需上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
智能夹爪,核心部件与本体,灵巧手与末端执行,基础设施,4,carrier,无需上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
机械夹爪,核心部件与本体,灵巧手与末端执行,基础设施,4,carrier,无需上下文,两报告直接词/支持扩展,用户提供的两份具身智能报告,,
力触觉传感器,核心部件与本体,力触觉感知,基础设施,4,component,需机器人/物理本体上下文,两报告直接词/公开资本研报补充,民生证券《智能具身创启未来纪元》,https://pdf.dfcfw.com/pdf/H3_AP202505181675062375_1.pdf,
六维力传感器,核心部件与本体,力触觉感知,基础设施,4,component,需机器人/物理本体上下文,两报告直接词/公开资本研报补充,民生证券《智能具身创启未来纪元》,https://pdf.dfcfw.com/pdf/H3_AP202505181675062375_1.pdf,
六维力矩传感器,核心部件与本体,力触觉感知,基础设施,4,component,需机器人/物理本体上下文,两报告直接词/公开资本研报补充,民生证券《智能具身创启未来纪元》,https://pdf.dfcfw.com/pdf/H3_AP202505181675062375_1.pdf,
六维力触觉传感器,核心部件与本体,力触觉感知,基础设施,4,component,需机器人/物理本体上下文,两报告直接词/公开资本研报补充,民生证券《智能具身创启未来纪元》,https://pdf.dfcfw.com/pdf/H3_AP202505181675062375_1.pdf,
多维触觉传感器,核心部件与本体,力触觉感知,基础设施,4,component,需机器人/物理本体上下文,两报告直接词/公开资本研报补充,民生证券《智能具身创启未来纪元》,https://pdf.dfcfw.com/pdf/H3_AP202505181675062375_1.pdf,
触觉传感器,核心部件与本体,力触觉感知,基础设施,4,component,需机器人/物理本体上下文,两报告直接词/公开资本研报补充,民生证券《智能具身创启未来纪元》,https://pdf.dfcfw.com/pdf/H3_AP202505181675062375_1.pdf,
柔性触觉传感器,核心部件与本体,力触觉感知,基础设施,4,component,需机器人/物理本体上下文,两报告直接词/公开资本研报补充,民生证券《智能具身创启未来纪元》,https://pdf.dfcfw.com/pdf/H3_AP202505181675062375_1.pdf,
MEMS触觉传感器,核心部件与本体,力触觉感知,基础设施,4,component,需机器人/物理本体上下文,两报告直接词/公开资本研报补充,民生证券《智能具身创启未来纪元》,https://pdf.dfcfw.com/pdf/H3_AP202505181675062375_1.pdf,
力矩传感器,核心部件与本体,力触觉感知,基础设施,4,component,需机器人/物理本体上下文,两报告直接词/公开资本研报补充,民生证券《智能具身创启未来纪元》,https://pdf.dfcfw.com/pdf/H3_AP202505181675062375_1.pdf,
压力传感器,核心部件与本体,力触觉感知,基础设施,4,component,需机器人/物理本体上下文,两报告直接词/公开资本研报补充,民生证券《智能具身创启未来纪元》,https://pdf.dfcfw.com/pdf/H3_AP202505181675062375_1.pdf,
视触觉传感器,核心部件与本体,力触觉感知,基础设施,4,component,需机器人/物理本体上下文,两报告直接词/公开资本研报补充,民生证券《智能具身创启未来纪元》,https://pdf.dfcfw.com/pdf/H3_AP202505181675062375_1.pdf,
电子皮肤,核心部件与本体,力触觉感知,基础设施,4,component,需机器人/物理本体上下文,两报告直接词/公开资本研报补充,民生证券《智能具身创启未来纪元》,https://pdf.dfcfw.com/pdf/H3_AP202505181675062375_1.pdf,
柔性电子皮肤,核心部件与本体,力触觉感知,基础设施,4,component,需机器人/物理本体上下文,两报告直接词/公开资本研报补充,民生证券《智能具身创启未来纪元》,https://pdf.dfcfw.com/pdf/H3_AP202505181675062375_1.pdf,
接近觉,核心部件与本体,力触觉感知,基础设施,4,component,需机器人/物理本体上下文,两报告直接词/公开资本研报补充,民生证券《智能具身创启未来纪元》,https://pdf.dfcfw.com/pdf/H3_AP202505181675062375_1.pdf,
触觉编码器,核心部件与本体,力触觉感知,基础设施,4,component,需机器人/物理本体上下文,两报告直接词/公开资本研报补充,民生证券《智能具身创启未来纪元》,https://pdf.dfcfw.com/pdf/H3_AP202505181675062375_1.pdf,
感知系统,核心部件与本体,视觉与环境感知,基础设施,3,component,需机器人/物理本体上下文,报告直接词/公开资本研报补充,用户提供的两份具身智能报告,,
视觉系统,核心部件与本体,视觉与环境感知,基础设施,3,component,需机器人/物理本体上下文,报告直接词/公开资本研报补充,用户提供的两份具身智能报告,,
机器视觉,核心部件与本体,视觉与环境感知,基础设施,3,component,需机器人/物理本体上下文,报告直接词/公开资本研报补充,用户提供的两份具身智能报告,,
深度相机,核心部件与本体,视觉与环境感知,基础设施,3,component,需机器人/物理本体上下文,报告直接词/公开资本研报补充,用户提供的两份具身智能报告,,
